!EXCLAMATION-POINT	ˌɛ k s k l ə ˈm e ɪ ʃ ə n ˌp ɔ ɪ n t
"""CLOSE-QUOTE"	ˈk l o ʊ z ˈk w o ʊ t
"""DOUBLE-QUOTE"	ˈd ʌ b ə l ˈk w o ʊ t
"""END-OF-QUOTE"	ˈɛ n d ə v ˈk w o ʊ t
"""END-QUOTE"	ˈɛ n d ˈk w o ʊ t
"""IN-QUOTES"	ˈɪ n ˈk w o ʊ t s
"""QUOTE"	ˈk w o ʊ t
"""UNQUOTE"	ˈʌ n ˈk w o ʊ t
#HASH-MARK	ˈh æ ˌm ɑː r k
#POUND-SIGN	ˈp a ʊ n d ˌs a ɪ n
#SHARP-SIGN	ˈʃ ɑː r p ˌs a ɪ n
%PERCENT	p ɝ ˈs ɛ n t
&AMPERSAND	ˈæ m p ɝ ˌs æ n d
'ALLO	ˌɑː ˈl o ʊ
'APOSTROPHE	ə ˈp ɑː s t r ə f i
'BOUT	ˈb a ʊ t
'CAUSE	k ə z
'COURSE	ˈk ɔ r s
'CUSE	ˈk j uː z
'EM	ə m
'END-INNER-QUOTE	ˈɛ n ˈd ɪ n ɝ ˈk w o ʊ t
'END-QUOTE	ˈɛ n d ˈk w o ʊ t
'FRISCO	ˈf r ɪ s k o ʊ
'GAIN	ˈg ɛ n
'INNER-QUOTE	ˈɪ n ɝ ˈk w o ʊ t
'KAY	ˈk e ɪ
'M	ə m
'N	ə n
'QUOTE	ˈk w o ʊ t
'ROUND	ˈr a ʊ n d
'S	ˈɛ s
'SINGLE-QUOTE	ˈs ɪ ŋ g ə l ˈk w o ʊ t
'TIL	ˈt ɪ l
'TIS	ˈt ɪ z
'TWAS	ˈt w ʌ z
(BEGIN-PARENS	b ɪ ˈg ɪ n p ɝ ˈɛ n z
(IN-PARENTHESES	ˈɪ n p ɝ ˈɛ n θ ə ˌs iː z
(LEFT-PAREN	ˈl ɛ f t p ɝ ˈɛ n
(OPEN-PARENTHESES	ˈo ʊ p ə n p ɝ ˈɛ n θ ə ˌs iː z
(PAREN	p ɝ ˈɛ n
(PARENS	p ɝ ˈɛ n z
