about	ə b æɔ t
age	æɪ d ʒ
ago	ə ɡ əʉ
ahead	ə h e d
air	eː
any	e n iː
are	aː
at	æ t
auto	oː t əʉ
auto	ɔ t əʉ
away	ə w æɪ
baby	b æɪ b iː
barb	b aː b
bat	b æ t
bead	b iː d
beg	b ɪ ɡ
beg	b e ɡ
bird	b əː d
boat	b əʉ t
boo	b ʉː
book	b ʊ k
boot	b ʉː t
but	b a t
buzz	b a z
car	k aː
card	k aː d
carrot	k æ ɹ ə t
choke	t ʃ əʉ k
code	k əʉ d
coffee	k ɔ f iː
dad	d æ d
dart	d aː t
date	d æɪ t
day	d æɪ
dead	d e d
did	d ɪ d
die	d ɑɪ
dog	d ɔ ɡ
door	d oː
dove	d a v
each	iː t ʃ
ear	ɪə
eat	iː t
egg	e ɡ
ether	iː θ ə
ether	iː θ əː
fade	f æɪ d
fashion	f æ ʃ ə n
fat	f æ t
foot	f ʊ t
found	f æɔ n d
fur	f əː
go	ɡ əʉ
good	ɡ ʊ d
guard	ɡ aː d
gut	ɡ a t
hat	h æ t
hear	h ɪə
hide	h ɑɪ d
how	h æɔ
ice	ɑɪ s
if	ɪ f
irk	əː k
jacket	d ʒ æ k ə t
jacket	d ʒ æ k ɪ t
joke	d ʒ əʉ k
joy	d ʒ oɪ
judge	d ʒ a d ʒ
lad	l æ d
ladder	l æ d əː
ladder	l æ d ə
leisure	l ɪ ʒ ə
leisure	l e ʒ əː
leisure	l e ʒ ə
letter	l e t əː
letter	l e t ə
loyal	l oɪ j ə l
mad	m æ d
nod	n ɔ d
ooze	ʉː z
otter	ɔ t ə
otter	ɔ t əː
out	æɔ t
over	əʉ v əː
over	əʉ v ə
oyster	oɪ s t əː
oyster	oɪ s t ə
palm	p aː l m
palm	p aː m
paper	p æɪ p əː
paper	p æɪ p ə
part	p aː t
pat	p æ t
pawed	p oː d
pea	p iː
peace	p iː s
peat	p iː t
pert	p əː t
pet	p e t
pipe	p ɑɪ p
pit	p ɪ t
pod	p ɔ d
port	p oː t
pot	p ɔ t
pub	p a b
pure	p j ʉː əː
pure	p j ʊə
pure	p j ʉː ɹ ə
push	p ʊ ʃ
rather	ɹ aː ð ə
rather	ɹ aː ð əː
recent	ɹ iː s e n t
recent	ɹ iː s ə n t
recent	ɹ iː z ə n t
reef	ɹ iː f
riches	ɹ ɪ t ʃ ə z
river	ɹ ɪ v ə
river	ɹ ɪ v əː
rod	ɹ ɔ d
rouge	ɹ ʉː ʒ
rude	ɹ ʉː d
sat	s æ t
school	s k ʉː l
shoe	ʃ ʉː
shop	ʃ ɔ p
sing	s ɪ ŋ
singer	s ɪ ŋ ə
singer	s ɪ ŋ əː
sue	s ʉː
summer	s a m ə
summer	s a m əː
tan	t æ n
tart	t aː t
teeth	t iː θ
teethe	t iː ð
that	ð æ t
thaw	θ oː
there	ð eː
tour	t ʊə
tour	t oː
tour	t ʉː
tragic	t ɹ æ d ʒ ɪ k
tub	t a b
utter	a t əː
utter	a t ə
vat	v æ t
visit	v ɪ z ə t
visit	v ɪ z ɪ t
voice	w oɪ s
voice	v oɪ s
void	v oɪ d
wad	w ɔ d
yard	j aː d
yellow	j e l əʉ
zoo	z ʉː
had	h æ d
haired	h eː d
hard	h aː d
hayed	h æɪ d
head	h e d
heard	h əː d
heared	h ɪə d
heed	h iː d
hid	h ɪ d
hoard	h oː d
hod	h ɔ d
hoed	h əʉ d
hoid	h oɪ d
hood	h ʊ d
howed	h æɔ d
hudd	h a d
whod	h ʉː d
1	w a n
2	t ʉː
4	f oː
4	f oː ɹ
9	n ɑɪ n
5	f ɑɪ v
7	s e v ə n
7	ʃ e v ə n
0	əʉ
0	z ɪə ɹ əʉ
3	θ ɹ iː
3	θ ɹ ɪ
6	s ɪ k ʃ
6	s ɪ k s
8	æɪ t
double	d a b ə l
