aarónica	aaˈɾonika
aarónicas	aaˈɾonikas
aarónico	aaˈɾoniko
aarónicos	aaˈɾonikos
aba	aβa
ababa	aβaβa
ababais	aβaβais
ababan	aβaβan
ababas	aβaβas
ababilla	aβaβiʎa
ababillaba	aβaβiʎaβa
ababillabais	aβaβiʎaβais
ababillaban	aβaβiʎaβan
ababillabas	aβaβiʎaβas
ababillad	aβaβiʎað
ababillada	aβaβiʎaða
ababilladas	aβaβiʎaðas
ababillado	aβaβiʎaðo
ababillados	aβaβiʎaðos
ababillamos	aβaβiʎamos
ababillan	aβaβiʎan
ababillando	aβaβiʎando
ababillar	aβaβiʎaɾ
ababillara	aβaβiʎaɾa
ababillarais	aβaβiʎaɾais
ababillaran	aβaβiʎaɾan
ababillaras	aβaβiʎaɾas
ababillare	aβaβiʎaɾe
ababillareis	aβaβiʎaɾeis
ababillaremos	aβaβiʎaɾemos
ababillaren	aβaβiʎaɾen
ababillares	aβaβiʎaɾes
ababillarme	aβaβiʎaɾme
ababillarnos	aβaβiʎaɾnos
ababillaron	aβaβiʎaɾon
ababillaros	aβaβiʎaɾos
ababillarse	aβaβiʎaɾse
ababillarte	aβaβiʎaɾte
ababillará	aβaβiʎaˈɾa
ababillarán	aβaβiʎaˈɾan
ababillarás	aβaβiʎaˈɾas
ababillaré	aβaβiʎaˈɾe
ababillaréis	aβaβiʎaˈɾeis
ababillaría	aβaβiʎaˈɾia
ababillaríais	aβaβiʎaˈɾiais
ababillaríamos	aβaβiʎaˈɾiamos
ababillarían	aβaβiʎaˈɾian
ababillarías	aβaβiʎaˈɾias
ababillas	aβaβiʎas
ababillase	aβaβiʎase
ababillaseis	aβaβiʎaseis
ababillasen	aβaβiʎasen
ababillases	aβaβiʎases
ababillaste	aβaβiʎaste
ababillasteis	aβaβiʎasteis
ababille	aβaβiʎe
ababillemos	aβaβiʎemos
ababillen	aβaβiʎen
ababilles	aβaβiʎes
ababillo	aβaβiʎo
ababillábamos	aβaβiˈʎaβamos
ababilláis	aβaβiˈʎais
ababillándome	aβaβiˈʎandome
ababillándonos	aβaβiˈʎandonos
ababillándoos	aβaβiˈʎandoos
ababillándose	aβaβiˈʎandose
ababillándote	aβaβiˈʎandote
ababilláramos	aβaβiˈʎaɾamos
ababilláremos	aβaβiˈʎaɾemos
ababillásemos	aβaβiˈʎasemos
ababillé	aβaβiˈʎe
ababilléis	aβaβiˈʎeis
ababilló	aβaβiˈʎo
abacera	aβaseɾa
abaceras	aβaseɾas
abacero	aβaseɾo
abaceros	aβaseɾos
abacería	aβaseˈɾia
abacerías	aβaseˈɾias
abad	aβað
abada	aβaða
abadas	aβaðas
abadeja	aβaðexa
abadejas	aβaðexas
abadejo	aβaðexo
abadejos	aβaðexos
abadenga	aβaðeŋga
abadengas	aβaðeŋgas
abadengo	aβaðeŋgo
abadengos	aβaðeŋgos
abaderna	aβaðeɾna
abadernaba	aβaðeɾnaβa
abadernabais	aβaðeɾnaβais
abadernaban	aβaðeɾnaβan
abadernabas	aβaðeɾnaβas
abadernad	aβaðeɾnað
abadernada	aβaðeɾnaða
abadernadas	aβaðeɾnaðas
abadernado	aβaðeɾnaðo
abadernados	aβaðeɾnaðos
abadernamos	aβaðeɾnamos
abadernan	aβaðeɾnan
abadernando	aβaðeɾnando
