a	ʌ
a	ɛ
a	æ i
add	ɛ d
advice	æ d v aɪ z
again	ə ɡ æ n
aim	eɪ n
air	æ
alone	ə l oʊ m
along	ə l ɔ n
am	æ n
am	ɛ n
an	ɛ m
an	ɛ n
an	ə m
and	æ n t
and	ɛ n d
and	ɛ m t
and	ə m d
angry	æ n ɡ ɹ i
animals	æ n ə m ə l s
any	æ m i
anywhere	ɛ n i w ɛ ɹ
apophis	ə p ʌ f ə s
approaches	ə p ɹ oʊ tʃ ɪ s
arctic	ɑ ɹ t ɪ k
are	ɹ
arms	ɑ ɹ m s
arms	ɑ m s
around	ɹ aʊ n d
around	ɹ aʊ n
art	ɑ d
as	ə z
as	ɛ s
as	æ ʃ
asteroids	æ s t ɹ ɔɪ d z
at	ɛ t
at	æ d
attack	ə t ɛ k
attic	æ d ɪ k
b	b ɪ
b	p ɪ
b	p i
back	b æ ɡ
back	b ɛ ɡ
back	b ɛ k
back	p æ k
bad	b æ t
bad	b ɛ t
bag	b æ k
balloon	b ə l u m
bananas	b ə n æ n ə s
bananas	b ə n ɑ n ə s
bang	b æ ŋ k
barks	p ɑ ɹ k s
base	b eɪ z
batter	b ɛ t ɝ
battle	b æ d ə l
be	b ɪ
be	p i
beaches	b i tʃ i z
bear	b ɛ
bear	b æ
beat	b ɪ t
beat	b i d
become	b i k ʌ m
becomes	b i k ʌ m z
bed	b æ d
bed	b ɛ t
bed	b æ t
bees	b i s
before	b i f ɔ
beg	b æ ɡ
behavior	b i h eɪ v j ə
being	b i n
ben	b æ n
ben	b ɛ m
bench	b æ n s
bend	b æ n d
bend	p ɛ n d
best	b æ s t
best	p ɛ s t
bet	b æ t
beth	b æ t
beth	b æ θ
big	b ɪ k
big	b i ɡ
big	b i k
big	p ɪ ɡ
big	p ɪ k
big	p i k
bikes	b aɪ k z
bird	b ɝ t
birds	b ɝ d s
birds	b ɝ t s
bit	b i t
bits	b i t s
bitten	b ɪ t ə m
blades	b l eɪ d s
blinking	p l ɪ ŋ k ɪ n
blow	p l oʊ
bobs	b ɑ b s
bomb	b ʌ n
books	b ʊ ɡ s
bop	b ɑ b
border	b ɔ ɹ t ɝ
boring	b ɔ ɹ ɪ n
bottles	b ɑ t ə l s
bottom	b ʌ t ə m
boxes	b ɑ k s ɪ s
boys	b ɔɪ s
brat	b ɹ ɛ t
brave	b ɹ eɪ f
breed	b ɹ i t
breeze	p ɹ i s
breeze	b ɹ i s
bring	b ɝ ɪ ŋ
brings	p ɹ ɪ ŋ z
bub	b ɑ b
bug	b ɑ ɡ
bug	b ʌ k
bug	b ɑ k
buggies	b ʌ ɡ i s
bugs	b ʌ ɡ s
bugs	b ɑ k s
bugs	b ʌ k s
bugs	b ɑ ɡ z
bumps	b ɑ m p s
bun	b ɑ n
bus	b ɑ s
bus	b ʌ ʃ
bus	b ɑ z
business	b ɪ s n ɪ s
busy	b i z i
busy	b ɪ s i
but	b ɑ t
but	p ɑ t
but	p ʌ t
but	b ɑ d
but	b ʌ d
butterflies	b ʌ t ɝ f l aɪ s
butterfly	b ʌ ɾ ɝ f l aɪ
button	b ɑ t ə n
buttons	b ɑ t ə n s
buzz	b ɑ z
by	p aɪ
bye	p aɪ
cages	k eɪ dʒ ɪ s
calf	k ʌ f
calls	ɡ ɔ l z
callum	k æ l ə n
cam	k æ n
came	k eɪ n
can	ɡ æ n
can	ɡ ə n
can	ɡ ɛ n
can	k æ m
can	k ə ŋ
can	k ə m
canvas	k æ n f ə s
captive	k æ p t i v
car	ɡ ɑ
care	k ɛ
care	k æ
care	k æ ɹ
careful	k æ f ə l
carry	k ɛ ɹ i
cars	k ɑ ɹ s
cars	k ɑ s
cat	ɡ æ t
cat	k æ d
catches	k æ tʃ ɪ s
caught	k ɔ d
cause	k ɔ s
chase	tʃ eɪ ʃ
chases	tʃ eɪ s ɪ s
chatting	tʃ æ d ɪ ŋ
cheaper	tʃ ɪ b ɝ
check	tʃ æ k
cheeky	tʃ ɪ k i
chickens	tʃ ɪ k ə n s
children	tʃ ɪ l d ɹ ə m
clan	ɡ l æ n
clashes	k l æ ʃ ɪ s
class	ɡ l æ s
class	k l ʌ s
class	k l ɑ z
classes	k l æ s ə s
classes	k l æ s ɪ s
clean	k l i m
clears	k l ɪ ɹ s
clever	k l æ v ɝ
clock	k l ɑ ɡ
clock	k l ɔ ɡ
clothes	k l oʊ θ s
clothes	k l oʊ s
cod	k ɑ t
cold	k oʊ l t
colorful	k ɑ l ɝ f ə l
colors	k ɑ l ɝ z
colors	k ʌ l ə s
colours	k ɑ l ɝ z
comb	k oʊ n
come	k ɑ m
come	k ʌ n
come	ɡ ʌ m
comes	k ʌ m s
comfy	k ɑ n f ɪ
coming	k ʌ m ɪ n
community	k ə m j u n i t i
companies	k ʌ m p ə n i s
confused	k ə n f j u s t
contest	k ɑ n t æ s t
cops	k ʌ b s
couches	k aʊ tʃ ɪ s
court	k ɔ ɹ d
cows	k aʊ s
crab	k ɹ æ p
crabs	k ɹ æ p s
crabs	k ɹ æ p z
crafting	k ɹ æ f t ɪ ŋ
crafting	k ɹ æ f t ɪ n
cranky	k ɹ æ n k i
crept	k ɹ æ p t
cries	k ɹ aɪ s
cries	ɡ ɹ aɪ z
critter	k ɹ ɪ d ə
croc	k ɹ ɑ ɡ
crops	ɡ ɹ ɑ p s
crossing	k ɹ ɔ s ɪ n
crow	ɡ ɹ oʊ
crunched	k ɹ ʌ m tʃ t
cry	k ɝ aɪ
cub	k ɑ b
cup	k ɑ p
cupboard	k ɑ b ɝ d
curls	k ɝ l s
cut	k ɑ t
cut	ɡ ɑ t
cutting	k ɑ d ɪ ŋ
dad	d æ t
dad	d ɛ d
dad	t æ d
daisies	d eɪ s i s
daisies	d eɪ z ɪ z
dam	d æ n
dark	d ʌ k
dark	t ɑ k
darren	d ɛ ɹ ə n
darren	d ɑ ɹ ə n
day	t eɪ
days	d eɪ s
dead	d æ d
dear	d i ə
death	d æ θ
deb	d æ b
decides	d ɪ s aɪ d s
decision	d ɪ s ɪ ʃ ə n
decorative	d ɛ k ɝ ə t ɪ v
den	d æ n
desk	d æ s k
detective	d i t ɛ k t ɪ v
dibs	d i b s
did	d ɪ t
did	d i d
did	t ɪ d
did	t ɪ t
dig	d ɪ k
dig	d i ɡ
digger	d i ɡ ɝ
digging	d ɪ ɡ ɪ n
dinosaurs	d aɪ n ə s ɔ ɹ s
dives	d aɪ f s
do	t u
do	t oʊ
do	d ʊ
do	t ʊ
dodges	d ʌ dʒ ɪ z
does	d ʌ s
does	d ɑ z
does	d ɑ s
does	t ɑ z
dog	d ɔ k
dog	d ʌ ɡ
dog	d ɑ k
dog	d ʌ k
dogs	d ɔ ɡ s
dogs	d ɔ k s
dogs	d ʌ ɡ z
dogs	d ʌ ɡ s
doing	d u ɪ n
don	d ʌ n
done	t ʊ n
done	t ɑ n
done	d ɑ n
dot	t ɑ t
dot	d ɑ d
dots	d ʌ t s
down	d aʊ m
dragon	t ɹ æ ɡ ə n
dragon	d ɹ æ k ə n
drags	d ɹ æ ɡ s
draw	t ɹ ɔ
draws	t ɹ ɔ z
dress	t ɹ ɛ s
dress	d ɹ æ s
drink	t ɹ ɪ ŋ k
drip	t ɹ ɪ p
drips	t ɹ ɪ p s
drives	d ɹ aɪ v s
drop	d ɹ ɔ p
drops	d ɹ ɑ b s
drum	d ɹ ɑ m
dry	t ɹ aɪ
duck	d ɑ k
duck	d ɑ ɡ
dug	d ɑ ɡ
dull	d ɑ l
duty	t u t ɪ
each	i t s
eat	ɪ t
eat	i d
eating	i d ɪ ŋ
eats	ɪ t s
egg	æ ɡ
egg	æ k
eggs	ɛ ɡ s
eggs	æ ɡ z
elephant	ɛ l ə v ə n t
elephants	æ l ə f ə n t s
elf	æ l f
elf	ɛ l v
ella	æ l ə
eloise	ɛ l oʊ i s
embarrassing	ɪ m b ɛ ɹ ə s ɪ n
emeralds	ɛ m ɝ ə l d z
emma	æ m ə
empty	ɛ n d ɪ
empty	æ m t i
end	æ n d
energy	æ n ə dʒ i
energy	æ n ɝ dʒ i
energy	æ m ə dʒ i
enough	ɪ n ʌ v
ever	ɛ v ɹ
every	æ v ɹ i
everywhere	ɛ v ɹ i w ɛ ɹ
exam	ɪ k s æ m
excellent	æ k s ə l ə n t
excited	ɪ ɡ z aɪ d ɪ d
eyes	aɪ s
fancy	f æ n s ɪ
fans	f æ n s
farm	f ɑ n
farm	f ʌ m
fast	f ʌ s t
favorite	f eɪ v ɝ ə t
feathers	f ɛ ð ɝ s
fed	f æ d
fed	f æ t
feed	f ɪ t
feel	f ɪ l
feeling	f i l ɪ n
feels	f ɪ l z
feels	f i l s
feels	f ɪ l s
feet	f ɪ t
feet	f i d
fetch	f æ tʃ
field	f ɪ l d
fig	f i ɡ
fig	f ɪ k
finally	f aɪ n ə l ɪ
find	f aɪ n t
firing	f aɪ ɝ ɪ ŋ
first	f ɝ z t
fish	f ɪ s
fish	f i ʃ
fit	f i t
fit	f ɪ d
five	f aɪ f
fixing	f ɪ k s ɪ n
flesh	f l æ ʃ
flights	f l aɪ d s
floats	f l oʊ d s
flop	f l ʌ p
flowers	f l aʊ ɝ s
flowers	f l aʊ ə s
fluids	f l u ɪ d s
food	f ʊ t
food	f ʊ d
food	f u t
foot	f u d
for	f ɹ
for	f ɝ ɹ
forage	f ɔ ɹ ɪ dʒ
forecast	f ɔ ɹ ɡ æ s t
forms	f ɔ n s
forward	f ɔ ɹ ɝ d
fossils	f ɑ s ə l s
foxes	f ɑ k s ə s
frame	f ɹ eɪ n
frenzy	f ɹ æ n z i
fresh	f ɹ ɛ s
friends	f ɹ ɛ n d s
fright	f ɝ aɪ t
frills	f ɹ ɪ l s
from	f ɹ ɑ m
from	f ɹ ʌ n
fruit	f ɹ u d
fun	f ɑ n
fun	f ʌ ŋ
fun	f ʌ m
fun	f ɑ m
fur	f ɹ
furry	f ɹ i
gain	ɡ eɪ m
gains	ɡ eɪ m z
games	ɡ eɪ m s
gang	ɡ æ n
gathers	ɡ ɛ ð ɝ z
gem	dʒ æ m
get	ɡ æ t
get	k ɪ t
get	k æ t
get	ɡ æ d
get	k ɛ t
get	ɡ i t
get	ɡ ɪ d
gets	ɡ æ t s
getting	ɡ ɛ d ɪ ŋ
gills	k ɪ l z
girls	ɡ ɝ l s
give	ɡ ɪ f
give	ɡ i v
gives	ɡ ɪ f s
gives	ɡ ɪ v s
gives	ɡ i v z
glad	k l æ t
glad	ɡ l æ t
glad	k l æ d
glasses	k l æ s ɪ s
go	k oʊ
goat	ɡ ɔ t
gobble	ɡ ʌ b ə l
goes	ɡ oʊ s
going	ɡ oʊ ɪ n
gold	ɡ oʊ l t
golem	ɡ ʌ l ə m
golem	ɡ oʊ l ə n
golem	ɡ ɑ l ə n
goo	ɡ ʊ
good	ɡ ʊ t
good	k ʊ d
good	ɡ u d
got	ɡ ʌ t
