a	oʊ
a	ɪ
a	ʌ
a	ɛ
a	i
a	u ɛ
a	u
a	ʊ
a	i eɪ
about	ə p ɑ t
about	æ b ə d
about	æ b aʊ t
after	ɔ f t ɝ
afternoons	ɔ f t ɝ n u n z
again	ʌ ɡ ɪ n
aidan	ə d ə n
aim	æ n
air	ɪ
air	ɪ ɹ
air	ʌ
alex	æ l ɛ k s
alex	æ l ə ɡ z
alex	ɑ l ɪ k s
alex	ɛ l ə k s
all	oʊ l
all	ɔ ɹ
all	i l
all	ɑ ɹ
all	ʌ l
all	ɛ ɹ
all	ʊ l
almost	ɔ l m oʊ s
along	æ l ɔ ŋ
am	æ n
am	ɪ m
am	ɑ m
am	i ə n
am	ə n
am	ʌ ŋ
an	ɪ n
an	ʌ n
an	æ m
an	ɛ n
and	ɛ n d
and	ɪ n d
and	ə n t
and	æ n t
and	ɛ n t
angry	ɪ n ɡ ɹ i
ant	æ n d
any	ə n i
any	ɛ m i
anything	æ n i θ ɪ ŋ
anyway	æ n i w eɪ
appear	oʊ p i ɛ
arctic	ɑ ɹ t ɪ k
are	ɹ
are	ə l
are	l
are	ɔ ɹ
around	ɹ aʊ n
around	ɹ aʊ n d
art	ɑ ɹ d
art	ɑ d
as	ɪ z
as	ɛ s
as	ɑ z
as	ɛ ʃ
as	ʌ z
as	ʌ s
as	i s
as	ɪ s
as	ʊ s
as	ə z
ask	ɛ s k
asked	ɛ s t
asked	ɔ s t
asteroids	æ s t ɹ ɔɪ d z
at	ɑ t
at	ɪ t
at	æ d
at	ɑ d
at	ʌ t
at	ə d
at	ɛ t
avalanche	æ v ə l ə n tʃ
away	oʊ w eɪ
b	b ɪ
b	b eɪ
b	b ʌ
b	f i
b	p æ
back	b ɛ k
back	b ʌ k
back	p ɛ k
back	b ɑ k
bad	b ʌ t
bad	b æ t
bad	b ɑ t
bad	b ɛ θ
bag	b æ k
ball	b oʊ l
ball	b ʊ l
ball	b ɑ ɹ
ball	p ɔ l
ball	f ɔ l
ball	b ɛ l
bananas	p ə n æ n ə z
basket	b ʌ s k ə t
bat	b ɑ t
bat	b æ d
bat	b ɛ t
bath	b ʌ t
be	b ɪ
be	b eɪ
be	p i
beak	b ɪ ɡ
bear	b æ ɹ
bear	b æ
bear	b ɛ
beast	p i s t
beat	b eɪ t
bed	b æ d
bed	b ɪ d
bed	b i d
bed	p ɛ d
bed	b ɛ t
bee	b ɪ
bees	b eɪ z
bees	b i s
beg	b æ ɡ
behavior	b ɪ h eɪ v j ʊ
being	b i n
being	b ɪ n
bell	f ɛ l
below	v æ l i
belt	b ɛ l d
bench	b æ n d z
best	b ɪ s t
best	b æ s t
bet	b ɛ d
bet	f ɛ t
beth	b æ θ
beth	b ɪ θ
bid	b ɛ d
big	b i k
big	b ɛ ɡ
big	p ɪ ɡ
big	p i k
big	b ʌ ɡ
big	b ʊ k
bill	f i l
bin	b ə n
bird	b æ d
bird	p ɪ d
bird	b ɝ θ
bird	b ɑ t
bird	b ʌ d
bird	b ʌ t
bit	b ɛ d
bits	b ʌ t s
black	b l ɑ k
blood	b l æ d
blows	b ɹ oʊ z
boat	b ɑ t
boat	b ʌ t
boat	b oʊ θ
bolt	b ɔ l t
bones	b ɑ n z
book	f oʊ k
book	b oʊ k
boring	f ɔ ɹ ɪ ŋ
bot	b ɑ
bot	b oʊ t
bot	f ɑ t
bot	f ɑ
both	b ʌ t
both	b ɔ d
bowl	b ɔ l
box	b ʊ k s
box	f ɑ k s
brat	b ɹ ɛ d
brave	b ɹ i f
breakfast	b ɹ ɪ k f ə s t
bucket	b ʌ k ə t
buckets	b ʌ k ɪ t s
bug	b æ ɡ
bug	b æ k
bug	b ɑ k
bug	b ʌ k
bug	b ɪ ɡ
bugs	b ʌ k s
built	b ɛ l d
bull	b oʊ l
bulls	b oʊ l z
bumps	f ʌ m p s
bunch	b ʌ n z
bury	b ɪ ɹ i
bus	b ʌ z
busy	b ɪ s i
busy	b i z i
but	b ɑ t
but	p ɑ t
but	b æ t
but	p ʊ t
but	b æ θ
but	b oʊ t
but	b ɔ t
but	b ɪ t
but	p ʌ t
butterfly	b ɑ t ɝ f l aɪ
buttons	b ɑ t ə n z
buy	p aɪ
by	f aɪ
by	p aɪ
bye	f aɪ
calf	k ɑ v
calf	k ɔ f
call	k u l
call	k oʊ l
called	k ɔ ɹ t
calls	k oʊ l z
calls	k u l z
calms	k ʌ m z
camera	k ɑ m ɹ ə
can	k ʌ m
can	k ɪ n
can	ɡ æ n
can	k ɪ ŋ
can	ɡ ɛ n
can	ɡ eɪ m
can	k eɪ m
can	k ɪ m
can	k æ ŋ
can	k æ m
cap	k æ b
cap	k ʌ p
car	k æ
car	k ɔ
car	k ɔ l
care	k ɛ
care	k æ
care	k ɪ
carnivores	k ɑ ɹ n ə v ə l z
carry	k ɛ ɹ i
cars	k ɔ z
cars	k ɔ ɹ z
cat	ɡ ɛ t
cat	k æ d
cat	k ɑ t
catch	k æ t s
caterpillar	k ɑ t ə p ɪ l ɝ
caterpillar	k ɪ t ə p ɪ l ə
caterpillars	k ʌ t ə p ɪ l ɝ z
caught	ɡ ʊ d
chick	tʃ i k
chop	tʃ æ p
clang	k l eɪ n
clap	ɡ l æ p
clap	k l ʌ b
claps	k l æ b z
class	ɡ l æ s
clean	k l eɪ m
clever	ɡ l ɛ v ɝ
clever	k l ɛ f ɝ
climbing	ɡ l aɪ m ɪ ŋ
clock	ɡ l ɑ k
clothes	k l ɔ θ s
clumps	k l æ m p s
cod	k ɔ d
cold	k ɔ l d
come	k ɑ m
come	k ə n
come	ɡ ʌ m
come	k æ n
come	k oʊ m
comes	ɡ ʌ m z
comes	k ɑ m z
confused	k ə m p j u z d
connect	k ɑ n ɛ k t
consumed	k ɑ n s u m d
convinced	k ə n v ɛ n s t
cooks	k oʊ k s
cool	k ɔ l
could	k ʌ t
could	k ɪ d
courage	k ɑ l ɪ dʒ
covering	k oʊ v ɝ ɪ ŋ
covering	k ɑ p ɝ ɪ ŋ
crab	k l æ p
crab	k ɝ æ b
crabs	k ɹ ɪ b z
crafting	k ɹ æ f t ɪ ŋ
crash	k ɝ æ ʃ
crawled	k ɹ oʊ l d
crops	k ɹ æ p s
crow	k ɝ oʊ
crow	k l oʊ
crow	k ɹ ɔ
crown	ɡ ɹ aʊ n
curl	k ɔ l
cut	k ɑ t
cut	k ʊ t
cut	k æ t
cuttlefish	k ɑ t ə l f ɪ ʃ
dad	ð æ t
dad	d ɛ d
dad	t æ d
dad	d ʌ d
dad	d æ t
dad	t ɛ d
dad	d ɛ θ
daddy	d ɛ d i
daisies	d ɪ z ɪ s
dance	d ɛ n s
dangerous	t eɪ n dʒ ɝ ə s
dark	d ɔ ɡ
