a	æ i
a	ʌ
a	ɛ
aaron's	æ ɹ ə n z
aberration	æ p ɝ eɪ ʃ ə n
abort	ə b ɔ ɹ d
activision	æ k t ɪ v ɪ z ə m
ada	æ t ə
adams	æ d ə n z
addition	ə d ɪ ʒ ə n
additive	æ t ə t ɪ v
admired	æ d m aɪ ɝ d
adverse	æ d f ɝ s
advices	æ d v aɪ z ɪ z
aeronautics	ɛ ɹ ə n ɔ t ɪ k s
aesthetics	æ s θ ɛ t ɪ k s
africans	æ f ɹ ɪ k ə n s
ago	ə k oʊ
ainslie	eɪ n s l i
ainsworth	eɪ n z w ɝ θ
air	æ
airbus	æ b ʌ s
aircraft's	ɛ ɹ k ɹ æ f t s
airfields	ɛ ɹ f i l d z
airforce	ɛ ɹ f ɔ ɹ s
airworthiness	ɛ ɹ w ɝ ð i n ə s
album	æ l b ə n
album	ɛ l b ə m
album's	æ l b ə n z
alcyon	ɛ l s i ə n
alfredo	ɛ l f ɹ eɪ d oʊ
algorithm	æ l ɡ ɹ ɪ ð ə m
algorithm	æ l k ɝ ɪ ð ə m
ali	æ l ɪ
alice	ɛ l ə s
allegiance	ə l i dʒ ə n z
allen	ɛ l ə n
alma	ɛ l m ə
alonso	ə l ɑ n z oʊ
also	ɔ l z oʊ
alumni	ə l ɑ m n aɪ
amateur	æ m ə tʃ ʊ ɹ
ambushed	ɛ m b ʊ ʃ t
american	ə m ɛ ɹ ɪ k ə n
amma	ɛ m ə
amtrak	æ m t ɹ æ k
an	ɛ n
analyses	ə n æ l ɪ s ɪ s
analyzed	ɛ n ə l aɪ z d
anchor	æ n k ɝ
anchor	æ n k ə
anchored	æ n k ɝ d
and	ɛ n d
and	ɛ n t
andre	ɑ n d ɹ i
angeles	æ n dʒ ə l i z
angeles	æ n dʒ ə l i s
ann	ɛ n
anne	ɛ n
annie	ɛ n i
answer	æ n s ə
anthropology	ɛ n θ ɹ ə p ɑ l ə dʒ i
appling	æ p l ɪ n
aquarium	ə k w ɛ ɹ i ə n
aramid	æ ɹ ə m i d
arbor	ɑ p ə
arctic	ɑ ɹ t ɪ k
are	ɹ
are	ʌ ɹ
area's	ɛ ɹ i ə z
argentinian	ɑ ɹ dʒ ə n t ɪ n i ə n
argus	ɑ ɡ ə z
around	ɹ aʊ n d
arrest	ɹ ɛ s t
arrival	ɹ aɪ v ə l
arrives	ɹ aɪ v z
art	ɑ d
artist's	ɑ ɹ t ə s t s
artworks	ɑ ɹ t w ɝ k s
as	ə z
asiatic	eɪ z i æ t ɪ k
aside	ə s aɪ t
aspirin	æ s p ɝ ɪ n
associated	ə s oʊ ʃ i eɪ t ə d
associating	ə s oʊ ʃ i eɪ t ɪ ŋ
association	ə s oʊ s i eɪ ʃ ə n
assumed	ə ʃ u m d
asteroid	æ s t ɹ ɔɪ d
asteroids	æ s t ɹ ɔɪ d z
auden	ɔ d ə m
autumn	ɔ d ə m
award	ə w ɔ t
azure	æ ʃ ə
bab	b æ p
bagging	b æ ɡ ɪ n
bags	b æ k s
ballet	b ɛ l eɪ
bancroft	b æ ŋ k ɹ ɔ f t
bang	b æ ŋ k
bantry	b æ ŋ t ɹ i
baptist	b æ p t ə s
baptist	p æ p t ə s
barbara	b ɑ ɹ b ɹ ə
barbara's	b ɑ ɹ b ɝ ə s
baritone	b æ ɹ ə t oʊ n
barrel	b ɛ ɹ ə l
barrington	b ɛ ɹ ɪ ŋ t ə n
barron	b æ ɹ ə n
barry	b ɛ ɹ i
base	b eɪ z
batting	b ɛ t ɪ ŋ
batting	b æ d ɪ ŋ
be	b ɪ
bear	b ɛ
beat	b i d
beatles	b i d ə l z
became	b ɪ ɡ eɪ m
became	b ɪ k eɪ n
beck	b æ k
beck's	b æ k s
becquerel	b ɛ k ɹ ə l
bedford	b ɛ t f ɝ t
been	b ə ŋ
beer	b i
being	b i ɪ n
belgrade	b ɛ l ɡ ɹ eɪ t
belize	b ə l i s
bemba	b ɛ n b ə
bengal	b æ ŋ ɡ ə l
benzyl	b æ n z ɪ l
berenice	b ɛ ɹ ə n i s
berlin	b ɝ l ɪ ŋ
bert	b ɝ d
beryllium	p ɝ ɪ l i ə m
beswick	b ɛ z w ɪ k
bexley	b æ k s l i
bid	b ɪ t
billed	b ɪ l t
bills	b ɪ l s
birdied	b ɝ t i d
blackwood	b l æ k w ʊ t
blessed	b l ɛ s d
blockbuster	b l ɑ k b ʌ s t ɝ
blog	b l ɑ k
blog	b l ʌ ɡ
board	b ɔ t
boaters	b oʊ d ɝ z
boating	b oʊ d ɪ ŋ
boats	b oʊ t z
bodley	b ʌ d l i
body	b ʌ d i
body	b ʌ ɾ i
bomb	b ʌ m
bombs	b ʌ m z
bonkers	b ʌ ŋ k ɝ z
bonnie	b ʌ n i
bons	b ɑ n z
booed	b u t
boomed	b u n d
borough	b ɑ ɹ ə
borten	b ɔ ɹ t ə n
bosnia	b ʌ z n i ə
botanic	p ə t æ n ɪ k
botches	b ʌ tʃ ɪ z
bottom	b ɑ t ə n
boulevard	b ʊ l ə v ɑ d
boundary	b aʊ n d ɝ i
brackets	b ɹ æ k ə t s
bradford	b ɹ ɛ d f ɝ d
brannan	b ɹ ɛ n ə n
brannon	b ɹ æ m ə n
brasilia	b ɹ ə z ɪ l j ə
brendan	b ɹ æ n d ə n
brent	b ɹ æ n d
brickman	b ɹ ɪ k m ə n
brinsmade	b ɹ ɪ n z m eɪ d
brinson	b ɹ ɪ n s ə n
britain	p ɹ ɪ d ə n
broadcasters	b ɹ ɔ d k æ s t ɝ z
brodie	b ɹ oʊ d i
bronstein	b ɹ ɑ n s t i n
bronwyn	b ɹ ɑ n w ɪ n
brummell	b ɹ ɑ m ə l
buckinghamshire	b ʌ k ɪ ŋ h æ m ʃ aɪ ɝ
buckland	b ɑ k l ə n d
built	b ɪ l d
burgos	b ɝ ɡ oʊ s
burke	b ɝ ɡ
burma	b ɝ n ə
bursary	b ɝ s ɹ i
bus	b ɑ s
business	b ɪ s n ɪ s
button	b ɑ t ə m
by	p aɪ
cab	k æ p
cadillac	k æ t ə l æ k
calibre	k æ l ə b ɹ
came	k eɪ n
cameras	k æ m ɹ ə s
cameron	k æ m ɹ ə n
canberra	k æ m b ɹ ə
cannon	k æ m ə n
canterbury	k ɛ n t ə b ɝ i
canyon	k ɛ n j ə n
caracalla	k æ ɹ ə k ɛ l ə
card	k ɑ t
cardiac	k ɑ d i æ k
care	k ɛ
care	k æ
career	k ɝ i ɹ
carmel	k ɑ ɹ m ə l
caroline	k ɛ ɹ ə l i n
carrie	k æ ɹ i
carried	k æ ɹ i d
carrier	k ɛ ɹ i ə
carrier	k æ ɹ i ə
carrington	k ɛ ɹ ɪ ŋ t ə n
carroll	k ɛ ɹ ə l
carrollton	k ɛ ɹ ə l t ə n
carry	k ɛ ɹ i
carter	k ɑ d ə
carthusian	k ɑ ɹ θ u s i ə n
case	k eɪ z
casseroles	k æ s ɹ oʊ l z
cast	k ʌ s t
causes	k ɔ s ɪ z
ceased	s i z d
ceases	s i z ɪ z
cell	z ɛ l
cells	s æ l z
census	s ɛ n s ə z
centum	s æ n t ə m
cephas	s ɛ f ə s
chancellor	tʃ æ n s l ɝ
chant	tʃ æ m t
character	k ɛ ɹ ə k t ə
charismatic	k ɛ ɹ ɪ z m æ t ɪ k
chaska	tʃ ɛ s k ə
chen	tʃ æ n
chess	tʃ æ s
china's	tʃ aɪ n ə s
chios	tʃ i oʊ s
chittenden	tʃ ɪ t ə n t ə n
choirs	k w aɪ ɝ z
choose	tʃ u s
chrismon	k ɹ ɪ s m ə n
chromosomes	k ɹ oʊ m ə z oʊ n z
citizen	s ɪ t ə s ə n
citizens	s ɪ t ə s ə n z
clarence	ɡ l ɛ ɹ ə n z
clarification	k l æ ɹ ə f ə k eɪ ʃ ə n
clarity	k l ɛ ɹ ə d i
class	k l ʌ z
cleaning	k l ɪ n ɪ ŋ
cleansed	k l ɛ n s t
clifden	k l ɪ f t ə n
cliff	ɡ l ɪ f
clinton	k l ɪ ŋ t ə n
clog	k l ʌ k
close	k l oʊ s
clot	k l ɑ d
club	k l ʌ p
clumsily	k l ʌ m z ə l i
clypeus	k l ɪ p i ə s
coatings	k oʊ d ɪ ŋ z
