a	ɪ
a	i
a	oʊ ə
a	ə ʌ
a	i ɛ
a	u
a's	eɪ z
aachen	æ k ə n
aachen	eɪ k ə n
aaliyah	æ l i ə
abbas	ə b æ s
abbas	æ b ə s
abbasid	æ b ə s ɪ d
abbasids	ə b æ s ɪ d z
abbe	æ b eɪ
abbess	æ b ə s
abbey	eɪ b eɪ
abbreviated	ə b ɹ i v i eɪ t ɪ d
abdullah	æ b d u l ə
abed	ɑ b ɪ d
abel's	æ b ə l z
abele	eɪ b ə l
abelian	ə b ɪ l i ə n
abelson	æ b ə l s ə n
abigail	æ b i ɡ ɛ l
abigail	æ b ə ɡ ɛ l
abilities	ə b ɪ l ɪ t i z
ability	eɪ b ɪ l ɪ t i
abjure	ə b dʒ ʊ ɹ
above	ə b oʊ v
abraham	eɪ b ɹ æ h ə m
abravanel	æ b ɹ ə v ə n ɛ l
abuja	ə p u dʒ ə
academia	æ k ə d eɪ m i ə
academic	ə k æ d ə m ɪ k
academically	æ k ə d i m i k l i
academician	æ k æ d ə m ɪ ʃ ə n
academician	ə k æ d ə m ɪ ʃ ə n
academy	ə k æ d ə m ɪ
accentor	æ k s ɛ n t ɝ
access	æ k s ə s
accommodate	ə k ɑ m ə d i t
accommodated	ə k ɑ m ə d eɪ t ɪ d
accompanist	ə k ɑ m p ə n ɪ s t
accredits	ə k ɹ ɛ d ə t s
achene	æ k i n
acidic	ə s ɪ t ɪ k
acoustic	æ k ə s t ɪ k
acre	æ k ɹ ə
acronym	æ k ɹ ə n ə m
actaeon	ɑ k t ə ə n
activate	æ k t ɪ v eɪ t
activating	æ k t ɪ v eɪ t ɪ ŋ
activation	æ k t ɪ v eɪ ʃ ə n
activist	æ k t ɪ v ə s t
actuality	æ k tʃ u æ l ə t i
ad	æ t
adaptation	æ d æ p t eɪ ʃ ə n
adapted	ə d æ p t ə d
addition	ɪ d ɪ ʃ ə n
additions	ɪ d ɪ ʃ ə n z
aden	æ d ə n
adherent	æ d h ɪ ɹ ə n t
adherents	æ d h ɪ ɹ ə n t s
adhesion	ə d h i ʒ ə n
adipose	æ d i p oʊ z
adjectives	æ dʒ ə k t ɪ v z
adjudicated	ə dʒ u d ə k eɪ t ɪ d
adjunct	eɪ dʒ ʌ ŋ k t
adjusted	ə dʒ ʌ s t ə d
admin	æ d m ə n
administrative	æ d m ɪ n ɪ s t ɹ eɪ t ɪ v
administratively	æ d m ɪ n ɪ s t ɹ eɪ t ɪ v l i
administrator	æ d m ɪ n ɪ s t ɹ eɪ t ɝ
administrators	æ d m ɪ n ɪ s t ɹ eɪ t ɝ z
admires	æ d m aɪ ɝ z
adolphus	æ d oʊ l f ə s
aegean	eɪ dʒ i ə n
aegeus	eɪ dʒ i ə s
aero	æ ɹ oʊ
aeronautical	ɛ ɹ ə n ɑ t ɪ k ə l
aeson	eɪ s ɑ n
affect	i f ɛ k t
affects	ɪ f ɛ k t s
affidavits	æ f ə d eɪ v ɪ t s
affiliated	ə f ɪ l i eɪ t ə d
affirmed	æ f ɝ m d
affordable	ə f ɔ ɹ t ə b ə l
affray	ə f ɹ eɪ
afghans	æ f ɡ ə n z
afon	æ f ə n
afrikaans	ɑ f ɹ i k ɑ n z
afrikaners	æ f ɹ ɪ k ɑ n ɝ z
after	ʌ f t ɝ
aftermarket	æ f t ɝ m ɑ ɹ k ə t
agadez	æ ɡ ə d ə z
agar	ɛ ɡ ɑ ɹ
agar	eɪ ɡ ɑ ɹ
agate	ə ɡ ɑ t
agnes	æ ɡ n ə s
agora	ə ɡ ɔ ɹ ə
agostino	æ ɡ oʊ s t i n oʊ
agrarian	ə k ɹ ɛ ɹ i ə n
agreed	ə k ɹ i d
agrippina's	æ ɡ ɹ ə p i n ə z
agron	æ ɡ ɹ ə n
ahmad	æ m ə d
ahn	ɑ n
ahoskie	ə h ɑ s k i
aid	eɪ t
aide	eɪ t
aimeri	ə m ɛ ɹ i
ainslie	æ n z l i
aires	ɑ ɹ i z
airmen	ɛ ɹ m ə n
aka	æ k ə
akashi	ə k æ ʃ i
akbar	æ k b ɑ ɹ
akron	æ k ɹ ə m
akron	æ k ɹ ɑ n
al	ɛ l
alacoque	æ l ə k oʊ k
alam	ɑ l ə m
alan	eɪ l ə n
alana	ə l æ n ə
alani	ə l æ n i
albee	æ l b i
albeit	æ l b i ɪ t
albers	æ l b ɝ s
albright	ə l b ɹ aɪ t
album	æ l b oʊ m
album	æ l b ə n
albums	æ l p ə m z
albuquerque	æ l b i k ɝ k i
alcalde	ɛ l k æ l d
alcock	æ l k ɑ k
alcorn	æ l k ɔ ɹ n
aldermanic	æ l d ɝ m æ n ɪ k
aldermen	ɛ l d ɝ m ɛ n
aldershot	æ l d ɝ ʃ ɑ t
aldous	æ l d ə s
aleander	æ l i æ n d ɝ
alec	æ l ə k
aleksander	æ l ə ɡ z æ n d ɝ
aleppo	æ l ɛ p oʊ
alessandro	æ l ə s ɑ n d ɹ oʊ
alessandro	æ l ə s æ n d ɹ oʊ
alexandra	æ l ə ɡ z æ n d ɹ i
alexandre	æ l ə ɡ z æ n d ɹ
alexandre	æ l ə ɡ z æ n d ɝ
alexandrov	æ l ə ɡ z æ n d ɹ ə v
alexi	æ l ɛ k s i
alfie	ɛ l f i
algonquin	æ l ɡ ɑ ŋ k w ə n
algorithm	ɑ l ɡ ɹ ɪ ð ə m
algorithm	æ l ɡ ɹ ɪ ð ə m
algorithm	æ l ɡ ɝ ɪ θ ə m
ali's	æ l i z
alia	æ l i ə
alianza	æ l i ɑ n z ə
alias	ɛ l i ə z
alicea	ə l i s i ə
alicia's	ə l i ʃ ə z
alif	æ l ɪ f
alif	æ l ə f
alison	æ l ə s ə n
alistair	æ l ə s t ɝ
alkyl	æ l k oʊ l
all	eɪ l
all	ɔ n
allah	æ l ə
allaire	æ l ɛ ɹ
allan's	æ l ə n z
allans	æ l ə m z
allegretto	æ l ə ɡ ɹ ɛ t oʊ
allegro	ə l eɪ ɡ ɹ oʊ
allende	æ l ɛ n d
allergies	æ l ɝ dʒ i z
alleviated	ə l i v i eɪ t ɪ d
allison	æ l ə s ə n
allnutt	ɔ l n ʌ t
allusion	ɪ l u ʒ ə n
almost	ɔ l m oʊ s
alpha	ɛ l f ə
also	ɛ l s oʊ
also	ɑ l s oʊ
also	æ l s oʊ
alta	oʊ l t ə
altenburg	ɔ l t ə m b ɝ ɡ
altissimo	æ l t i s i m ə
alto	ɔ l t oʊ
altoona	ɔ l t u n ə
aluminium	ə l u m ə n ə m
aluminium	ɪ l u m ə n ə m
aluminum	ɪ l u m ə n ə m
alvin	æ l v ə n
alyce	æ l ə s
am	i n
am	æ n
amabilis	æ m æ b ə l ɪ s
amalia	ə m æ l i ə
amalia	ə m i l j ə
aman	ə m ə n
amanda	ə m ɛ n d æ
amar	æ m ɑ ɹ
amaryllis	ɛ m ə ɹ ɪ l ə s
amazon's	æ m ə z ə n z
ambassador	æ m b æ s ə t ɝ
amber	ɛ m b ɝ
ambit	æ m b ə t
ambivalent	æ m b ɛ v ə l ə n t
amenities	ə m ɛ n ɪ t i z
amenities	ə m ɪ n ɪ t i z
amenity	ə m ɛ n ɪ t i
america	ə m ɛ ɹ ə k ə
americans	ə m ɛ ɹ ə k ə n z
ami	æ m ə
amide	ə m i d
amiga	ə m i k ə
amin	æ m i n
amir	æ m ɪ ɹ
amis	ə m ɪ s
amis	æ m ə s
amon	æ m ə n
amoy	ɑ m ɔɪ
amphibians	æ n f ɪ b i ə n z
amputation	ɪ m p j ə t eɪ ʃ ə n
amsterdam	æ n s t ɝ d æ m
amun	æ m u n
