a	eɪ
a	oʊ
a	ɛ
a	ɛ i
a	ʌ
abbas	ə b ə s
abdominal	æ b d ə m ə n ə l
abidjan	æ b ə dʒ ə n
abidjan	æ b ɪ dʒ ə n
absorption	ə b s ɔ ɹ p ʃ ə n
abutment	ə b ɔ t m ə n t
acadian	ɑ k eɪ d i ə n
achilles	ə k ɪ l i s
acid	ɛ s i d
acid	ɛ s ɪ d
acquire	ə k w aɪ ɹ
acquiring	ə k w aɪ ɹ ɪ ŋ
acre	æ k ɹ
action	ɛ k ʃ ə n
activity	ɛ k t ɪ v ə t i
ada	eɪ d ə
add	ɛ d
added	æ d ʌ d
adding	æ d ɪ n
ade	æ d
adenine	ɛ d ə n i n
adjuncts	æ dʒ ʌ n k t s
admired	æ d m aɪ ɝ d
adolf	æ d ɑ l f
adrian	æ d ɹ i ə n
adult	ə d ə l t
adulthood	ə d ə l t h ʊ d
adults	ə d ə l t s
adventure	ə d v ɛ n tʃ ɝ
adventures	ə d v ɛ n tʃ ɝ z
adversarial	æ d v ɝ s ɛ ɹ i ə l
advice	æ d v aɪ z
aeon	i ə n
aerobatic	ɛ ɹ ə b æ t ɪ k
aerobatics	ɛ ɹ ə b æ t ɪ k s
aesop	i s ɔ p
aesthetic	æ s θ ɛ t ɪ k
aesthetics	æ s θ ɛ t ɪ k s
aesthetics	ɛ s t æ t ɪ k s
affixes	ə f ɪ k s i z
afghanistan	æ f ɡ æ n ɪ s t ə n
aforementioned	æ f ɝ m ɛ n ʃ ə n d
africa	eɪ f ɹ ɪ k ə
africans	æ f ɹ ɪ k ə n z
afrikaans	æ f ɹ ə k ə n z
again	ə ɡ eɪ n
again	ə ɡ æ n
aggregation	ɛ ɡ ɹ ə ɡ eɪ ʃ ə n
aid	ɛ d
aileron	eɪ l ɝ ə n
aileron	ɛ l ɝ ɑ n
aint	æ n t
air	eɪ
air	æ
air	æ ɹ
airbus	æ ɹ b ə s
aircraft's	ɛ ɹ k ɹ æ f t s
airdrop	ɛ ɹ d ɹ ɑ p
aires	ɛ ɹ i z
airfields	ɛ ɹ f i l d z
airlifted	ɛ ɹ l ɪ f t ɪ d
airstrip	ɛ ɹ s t ɹ ɪ p
airworthy	ɛ ɹ w ɝ ð i
aladdin	ə l ɛ d ɪ ŋ
alastair	æ l ə s t ɝ
albrecht	oʊ l b ɹ ɛ k t
alcohol	æ l k ə h ə l
alcoholics	æ l k ə h ɔ l ɪ k s
alderete	oʊ l d ɝ i t
alderney	ɔ l d ɝ n i
aldrich	oʊ l d ɹ ɪ tʃ
aldrich's	oʊ l d ɹ ɪ tʃ ɪ z
ale	æ l
aleister	æ l ɪ s t ə
aleister	æ l ɪ s t ɝ
alesi	ə l æ s i
alesi	ə l ɛ s i
alfredson	æ l f ɹ ɪ d s ə n
alfredsson	æ l f ɹ ɪ d s ə n
ali	ɛ l i
alice	ɛ l ə s
alicia	ə l ɪ s i ə
all	oʊ l
allegheny	æ l ə ɡ æ n i
allegiance	ə l i dʒ ə n z
allen	ɛ l ə n
allotted	ə l ɔ t ɪ d
alma	ɛ l m ə
almond	oʊ l m ə n d
almonds	ɔ l m ə n d z
alone	ə l oʊ ŋ
alone	ə l ɔ ŋ
along	ə l oʊ ŋ
along	ə l ɔ n
alonso	ə l ɑ n z oʊ
alphonse's	æ l f ɑ n s ɪ z
alsace	æ l s ə s
also	oʊ l s oʊ
also	ə l s oʊ
alternate	oʊ l t ɝ n ə t
alternate	ʌ l t ɝ n eɪ t
alternating	oʊ l t ɝ n eɪ t ɪ ŋ
alternation	ɔ l t ɝ n eɪ ʃ ə n
alvarado	æ l f ɝ ɑ d oʊ
amara	ə m ɑ ɹ ə
amarillo	æ m ɝ i l oʊ
amazonas	æ m ə z oʊ n ə s
ambrose	æ m b ɹ oʊ s
ambroses	æ m b ɹ oʊ z ɪ z
amelia	ə m ɪ l j ə
amer	æ m ɝ
american	ə m ɛ ɹ ɪ k ə n
ames's	ɛ m s ɪ z
amide	æ m i d
amniotic	æ m n i ə t ɪ k
among	ə m ʌ n
amos	æ m ə s
amro	æ m ɝ oʊ
amtrak	æ m t ɹ æ k
amtrak's	æ m t ɹ æ k s
an	æ ŋ
an	ɑ n
an	ɛ n
an	ʌ n
analyses	ə n æ l ɪ s ɪ s
anarchist	æ n ɑ k ɪ s t
anarchy	æ n ɑ k i
anchored	æ n k ɝ d
ancient	eɪ n s ə n t
ancient	ɛ n s ə n t
and	ɔ n d
and	ʌ n d
andes	æ n d ɪ s
andrea's	æ n d ɹ i ə z
andretti	æ n d ɹ ɛ t i
andrews'	æ n d ɹ u z
andronicus	æ n d ɹ ɑ n ɪ k ə s
angas	æ ŋ ɡ ə s
angel	eɪ n dʒ ə l
angeles	æ n dʒ ə l i s
angeles	æ n dʒ ə l i z
angell	æ n dʒ ə l
anglican	æ ŋ ɡ l i k ə n
angola	æ n ɡ oʊ l ə
ankang	ɑ n k ə n
ankara	æ n k ɝ ə
ankara	æ ŋ k ɑ ɹ ə
annas	æ n ə s
annexation	æ n æ k s eɪ ʃ ə n
annie	ɛ n i
anomaly	ə n ɔ m ə l i
another	æ n ʌ ð ɝ
another	ə n ʌ θ ɝ
answer	æ n s ə
antenna	æ n t æ n ə
antennas	æ n t æ n ə z
anthem	ɛ n θ ə m
anthologies	æ n θ ɑ l ə dʒ ɪ s
antibacterial	æ n t i b æ k t ɪ ɹ i ə l
antibiotic	æ n t ɪ b i ɑ t ɪ k
antibiotics	æ n t ɪ b i ɑ t ɪ k s
antiphons	æ n t i f ə n z
antiphons	æ n t ɪ f ə n z
antique	æ n t ɪ k
antiquities	æ n t ɪ k w ə t ɪ s
antoinette	æ n t w ɑ n ɛ t
anton	æ n t ɑ n
any	æ n ɪ
anywhere	æ n i h w ɛ ɹ
anywhere	ɛ n i w ɛ ə
anywhere	ɛ n i w ɛ ɹ
aphorisms	ɛ f ɝ ɪ z ə m z
apis	eɪ p ɪ s
apopka	ə p oʊ p k ə
apostates	ə p ɑ s t eɪ t s
apparatus	æ p ɝ eɪ t ə s
appendices	ə p ɛ n d ə s i z
apsley	ɛ p s l i
arabia	ɑ ɹ eɪ b i ə
arafat	ɑ ɹ ə f ə t
aral	æ ɹ ə l
aral	ɑ ɹ ə l
aransas	ɹ æ n s ə s
arbor	ɑ b ɑ
arboreal	ɔ ɹ b ɔ ɹ i ə l
arbuckle	ɑ ɹ b ʌ k ə l
arch	ɑ ɹ t s
archaeologist	ɑ ɹ k i ə l ə dʒ ɪ s t
archibald	ɑ ɹ tʃ ə b oʊ l d
arctic	ɑ ɹ t ɪ k
are	eɪ ə
are	eɪ ɝ
are	ɔ ɹ
are	ɹ
are	ʌ ɹ
area	eɪ ɹ i ə
area's	ɛ ɹ i ə z
areas	eɪ ɹ i ə z
areas	ɛ ɹ i ə s
argentina	ɑ dʒ ə n t ɪ n ə
argentinian	ɑ ɹ dʒ ə n t ɪ n i ə n
argonauts	ɑ ɹ ɡ ə n ɑ t s
arid	æ ɹ ə d
ariel	æ ɹ i ə l
arion's	æ ɹ i ə n z
aristocratic	ɹ ɪ s t ə k ɹ æ t ɪ k
arizona	æ ɹ ɪ z oʊ n ə
arkansas	ɑ ɹ k æ n s ə s
arkansas'	ɑ ɹ k ə n s ɔ z
arkansas's	ɑ ɹ k ə n s ɔ z
armadale	ɑ ɹ m ə d eɪ l
armagh	ɑ m ə
armagh	ɑ ɹ m ə
armon	ɑ ɹ m ə n
armorica	ɑ ɹ m ɔ ɹ ɪ k ə
arms	ə m z
army	ɑ m ɪ
aromatics	æ ɹ ə m æ t ɪ k s
aron	æ ɹ ə n
aroostook	ɹ u s t ʊ k
around	ɹ aʊ n d
array	ɹ eɪ
arrested	ɹ ɛ s t ɪ d
arrow	ɛ ɹ oʊ
arsonist	ɑ ɹ s ə n ɪ s t
arsonist	ɔ s ə n ɪ s t
art	ɔ t
artifacts	ɑ ɹ t ə f ɛ k t s
artist's	ɑ ɹ t ə s t s
arum	æ ɹ ə m
arun	æ ɹ ə n
as	ɑ s
as	ɑ z
as	ɔ s
as	ə z
as	ɛ s
as	ʌ s
as	ʌ z
asana	ə s ɑ n ə
asda	æ z d ə
ash	eɪ s
ashdod	æ ʃ d ɔ d
ashkenazi	æ ʃ k ə n ə z i
ashraf	æ ʃ ɹ ə f
ashton	ɛ ʃ t ə n
ashworth	æ s w ɝ θ
asian	eɪ ʃ ə n
asiatic	eɪ z i æ t ɪ k
asiatic	æ s i æ t ɪ k
assembling	ə s ɛ m b l ɪ n
associated	ə s oʊ ʃ i eɪ t ə d
associated	ə ʃ oʊ ʃ i eɪ t ə d
associating	ə s oʊ ʃ i eɪ t ɪ ŋ
association	ə s oʊ s i eɪ ʃ ə n
assumes	ə ʃ u m z
asteroid	æ s t ɹ ɔɪ d
asteroids	ɛ s t ɝ ɔɪ d z
asteroids	ɛ s t ɹ ɔɪ d z
asthma	æ s m ə
astor	eɪ s t ɝ
astronaut	æ s t ɹ ə n oʊ t
astronaut	æ s t ɹ ə n ə t
astronauts	æ s t ɹ ə n ɔ t s
astronauts	æ s t ɹ ə n ɔ t z
astronauts'	æ s t ɹ ə n ɔ t s
astronomical	æ s t ɹ ə n ə m ɪ k ə l
asura	ə s ʊ ɹ ə
atari	ɑ t ɑ ɹ i
athi	æ θ i
athos	æ θ ɔ s
athos	æ θ ə s
atoll	æ t oʊ l
atoll	æ t ə l
attendee	ə t æ n d i
attleborough	æ t ə l b ɝ ə
auberge	oʊ b ɝ dʒ
auburn	oʊ b ɝ n
auburn	ɔ b ɝ n
auckland	oʊ k l ə n d
audacious	ɔ d eɪ ʃ ə s
audacity	ɔ d æ s ə t i
audible	ɔ d ə b ə l
audition	ə d ɪ ʃ ə n
auditioned	ə d ɪ ʃ ə n d
