a	ɪ
a	ʊ
a	i
a	u
a	ɔ ə
a	eɪ ɪ
a	i ə
a	ʌ i
a	æ ə
a	ə ɪ
a	eɪ ə
a	oʊ ə
a	u ə
a	ɪ ɔ
a	i æ
a	ə i
a	u eɪ
a	æ æ
a	i ɛ
a	ɑ ɪ
a	ɛ ɪ
a	ɪ ə
a	i eɪ
a	ɛ eɪ
a	ɛ ʌ
a	ɛ ə
a	ɪ ɪ
a	i oʊ
a	ɪ i
a	oʊ i
a	i ɔ
aachen	ɑ k ɛ n
aarhus	ɑ ɹ h ə s
abacus	æ b æ k ə s
abandoned	ə b ʌ n d ə n d
abatis	æ b ɛ t ɪ s
abatis	æ b ɛ t ɪ
abbasi	ə b æ s i
abbasid	æ p ə z ɪ t
abbess	æ b ə s
abbeville	æ b ɪ v ɪ l
abbey	æ b eɪ
abbey	æ b ɪ
abbey	eɪ b eɪ
abbot	ɛ b ɔ d
abbot	ə b ɑ t
abbott's	æ b ɔ t s
abbreviated	ə b ɹ i v i eɪ t ɪ d
abdication	æ b d ə k eɪ ʃ ə n
abdomen	æ b d oʊ m ə n
abdominal	ɑ b d ɑ m ə n ə l
abel	eɪ b ɛ l
abele	ɑ b ɪ l
abele	æ b ə l
abelian	æ b i n i ə n
abelian	æ b i l i ə n
abelian	æ b eɪ l i ə n
abelson	æ b ə l s ə n
abercrombie	æ b ɝ ɡ ɹ oʊ m b i
aberdeenshire	æ b ɝ d ɪ n ʃ ɝ
aberration	ɛ b ɝ eɪ ʃ ə n
abigail	æ b i ɡ eɪ l
abilities	ə b ɪ l ɪ t i z
abilities	æ b ɪ l ɪ t i z
ability	æ p ə l eɪ t i
aboard	ə b ɔ t
aboard	ə b oʊ d
abolition	ə b ə l ɪ ʃ ə n
aboulia	ə b oʊ n i ə
above	ə b oʊ v
abraham	æ b ɹ æ h ə m
abraham	eɪ b ɹ æ h æ m
abraham	æ b ɹ æ h æ m
abraham	æ b ɹ ə h ə m
abraham	eɪ b ɹ æ h ə m
abrahams	eɪ b ɹ æ h ə m z
abrahamson	eɪ b ɹ æ h æ m s ə n
abram	æ b ɹ ə m
