a	ɪ
a	u
a	i
a	ʊ
a	i eɪ
a	ɑ ə
a	ɔ ə
a	u ə
a	eɪ ɪ
a	i ə
a	i ɛ
a	æ ə
a	ə eɪ
a	oʊ æ
a's	eɪ z
aach	eɪ k
aachen	æ k ə n
aalborg	ɑ l b ɔ ɡ
aalborg	æ l b ɔ ɹ
aalborg	æ l b ɔ ɹ ɡ
aalst	æ l s t
aarhus	ɑ ɹ h ə s
ababa	ɑ b ɑ b ə
abacha	ə b ɑ k oʊ
abad	ɑ b ə d
abakan	ɑ b ə k ə n
abalkin	ə b æ l k ɪ n
abba	ɑ b ə
abba	æ b i
abba	i b oʊ
abbas	ɑ b ə s
abbas	æ b ə s
abbasid	ə b ə s ɪ d
abbasid	æ b ə s ɪ d
abbaye	ə b eɪ
abbess	æ b ə s
abbey	eɪ b i
abbot	æ b ʊ t
abbotsford	ə b ɑ t s f ɝ d
abbott	æ b ʊ t
abbott	æ b ɪ t
abbott's	æ b ɪ t s
abbreviated	ə b ɹ i v i eɪ t ɪ d
abdallah	æ b d ɑ l ə
abdel	æ b d ə l
abdication	æ b d ə k eɪ ʃ ə n
abdollah	æ b d ə l ə
abdollah	æ b d oʊ l ə
abdomen	æ p d ə m ə n
abdomens	æ b d ə m ə n z
abductee	ə b d ʌ k t i
abdulla	æ b d u l ə
abdullah	æ b d u l ə
abdullah	æ b d oʊ l oʊ
abdullah's	æ b d u l ə z
abdullahi	æ b d u l ɑ h i
abe	æ b i
abe	æ b
abe	eɪ p
abe	ɑ b i
abe	ɑ b
abe	ə b
abe's	ɑ b i z
abel	æ b ə l
abel	æ b ɛ l
abeles	eɪ b ɪ l ɛ z
abelian	ə b ɪ l i ə n
abelian	æ b ɛ l i ə n
abelian	æ b ɪ l i ə n
abelian	ə b ɛ l j ə n
abelian	ə b ɛ l i ə n
abell	ɑ b ɛ l
abell	ə b ɛ l
abenaki	æ b ə n ɑ k i
abercromby	æ p ɝ k ɹ ɑ m b i
aberdeen	æ p ɝ d i n
aberdeenshire	æ b ɝ d i n ʃ aɪ ɝ
abernathy	æ b ɝ n ɪ θ i
aberrations	æ p ɝ eɪ ʃ ə n z
abi	æ b i
abidjan	ə b i dʒ ə n
abigail	æ b ɪ ɡ ə l
abilene	æ b ə l i n
abilene	æ b ə l æ n
abilene	æ b ə l eɪ n
abilities	ə b ɪ l ɪ t i z
abilities	æ b ə l ɪ t i z
abimelech	æ b ə m ɪ l ɪ k
abingdon	æ p ɪ ŋ d ə n
abject	ə b dʒ ɛ k t
abkhaz	æ b k eɪ z
ablative	æ b l æ t ɪ v
able	eɪ p ə l
ablution	ə b l u ʃ ə n
ably	eɪ b l i
abnormalities	æ b n ɔ ɹ m æ l ə d i z
abo	ɛ p oʊ
abolished	æ b ə l ɪ ʃ t
abolitionists	æ b ə l ɪ ʃ ə n ɪ s
aborigines	æ b ɝ ɪ dʒ ə n i s
aborted	ə b ɔ ɹ d ɪ d
abound	ɑ b aʊ n d
about	æ b aʊ t
above	ə b oʊ v
above	æ b ʌ v
aboyne	æ b ɔɪ n
abraham	eɪ b ɹ æ h ə m
abraham	ə b ɹ æ h æ m
abraham	ə b ɹ ɑ h ə m
abraham	eɪ b ɹ æ h æ m
abraham	æ b ɹ æ h æ m
abrahamic	eɪ b ɹ æ h æ m ɪ k
abrahamic	ə b ɹ æ h æ m ɪ k
abrahams	eɪ b ɹ æ h ə m z
abrasions	æ b ɝ æ ʃ ə n z
abravanel	æ b ɹ ə v ə n ɛ l
abravanel	ə b ɹ ɑ v ə n ɛ l
abrego	ə b ɹ eɪ ɡ oʊ
abril	æ b ɹ ə l
abroad	ə b ɹ ɔ t
absalom	æ p s ə l ə m
absalom	æ b s ə l ɑ n
absalom	æ b s ə l ɑ m
abscess	æ p s ə s
absecon	æ b s ə k ə n
absecon	æ b s ɪ k ə n
absent	æ p s ə n t
absentee	æ p s ɪ n t i
absolutists	æ b s ə l u t ɪ s t s
absolutive	ɑ b s ə l ə t ɪ v
abstain	æ b s t eɪ n
abstained	æ b s t eɪ n d
abstemious	ɑ b s t i m i ə s
abstractions	ə b s t ɹ æ k ʃ ə n z
absurdum	æ p s ɝ d ə m
abu	ɑ b u
abu	æ p oʊ
abu	ɑ b oʊ
abutted	ə b ʌ d ɪ d
abutting	ə b ʌ d ɪ ŋ
aby	æ b i
abydos	ɛ b ə d oʊ s
acacia	ə k eɪ s i
academia	æ k ə d eɪ m i ə
academic	ə k æ d ə m ɪ k
academic	æ k æ d ɛ m ɪ k
academic	æ k ə d eɪ m ɪ k
academicians	æ k ə d ə m i ʃ ə n z
academies	æ k ə d eɪ m i z
academy	æ k ə d ə m i
academy's	ɪ k æ d ə m i z
academy's	ə k æ d ə m ɪ s
acadian	æ k eɪ d i ə n
acadians	ə k ɑ d i ə n z
acara	ə k ɑ ɹ ə
acarnania	ɑ k ɑ ɹ m eɪ n i ə
accede	ɪ k s i d
accelerated	ɪ k s ɛ l ɝ eɪ t ɪ d
accelerates	ɪ k s ɛ l ɝ eɪ t s
acceleration	ɪ k s ɛ l ɝ eɪ ʃ ə n
acceleration	æ ɡ s ɛ l ɝ eɪ ʃ ə n
acceleration	ɪ ɡ z ɛ l ɝ eɪ ʃ ə n
accented	ə k s ɛ n t ɪ d
accept	ɪ k s ɛ p t
accepted	ɪ k s ɛ p t ɪ d
accepting	ɪ k s ɛ p t ɪ n
acceptor	ɪ k s ɛ p t ɝ
accepts	ɪ k s ɛ p t s
access	æ k s ə s
access	æ k s eɪ s
access	æ k s ɪ z
access	æ k s ə z
access	ɪ k s ɛ s
accesses	æ k s ɛ s ə z
accession	ə s ɪ ʃ ə n
accession	ə k s eɪ ʃ ə n
accidental	ɛ k s ə d ɛ n ə l
accommodated	ə k ɑ m ə d eɪ t ɪ d
accomplices	ə k ɑ m p l ə s ɪ z
accomplishes	ɪ k ɑ m p l ɪ ʃ ɪ z
accordionist	ə k ɔ ɹ d i ə n ɪ s t
accra	æ k ɝ ə
accredited	ə k ɹ ɪ d ɪ t ɪ d
accreted	ə k ɹ i t ɪ d
accusative	æ k j ə z ə t ɪ v
accuser	æ k j u z ɝ
ace	ɪ s
acephalous	eɪ s ɛ f ə l ə s
acequia	ə s i k w i ə
acetal	æ s ə d ə l
acetate	æ s ɪ t eɪ t
acetylene	ə s ɛ t ə l ɪ ŋ
acetylene	ə s ɪ t ə l i n
achaemenid	ə k i m ə n ə d
achaemenid	æ k ə m ə n ɪ d
achaemenid	æ k ə m ɛ n ɪ d
achaemenid	æ k ə m æ n ɪ d
achilles	ə k i l i z
achim	æ k i m
achromatic	æ k ɹ ə m æ t ɪ k
acid	æ s ɪ t
acid	æ s eɪ d
acidic	ə s ɪ t ɪ k
acidic	æ s ɪ t ɪ k
acidic	ə s ɛ t ɪ k
acidic	æ s ɛ t ɪ k
acidic	ə s i t ɪ k
acidophilus	æ s ə d ɑ f ə l ə s
acids	æ s ə t z
acids	æ s ɪ t s
acme	æ k n i
aconitum	æ k ə n i t ə m
acosta	ə k ɑ s t ə
acoustic	ə k u s t ə k
acquire	i k w aɪ ɝ
acquisition	æ k w ə s ɪ ʃ ə n
acquisitiveness	æ k w ɪ z ə t ɪ v n ə s
acres	eɪ k ɝ s
acres	eɪ ɡ ɝ z
acrimony	æ k ɹ ə m oʊ n i
acrobatic	æ k ɹ oʊ b æ t ɪ k
acronym	æ k ɹ ə n ə m
acronym	æ k ɹ ə n ə n
acrostics	ə k ɹ ɔ s t ɪ k s
act	ɛ k t
actin	æ k t ɪ n
action	æ k s ə n
activate	æ k t ɪ v eɪ t
activated	æ k t ɪ v eɪ t ɪ d
activating	æ k t ɪ v eɪ t ɪ ŋ
activation	æ k t ɪ v eɪ ʃ ə n
active	æ k t ʌ v
activist	æ k t ɪ v ə s t
activist	æ k t ɪ f ɪ s t
activists	æ k t ɪ v ə s t s
activity	ɑ k t ɪ v ɪ t i
actor	ɛ k t ɝ
acts	ɛ k s
actuality	æ k tʃ u æ l ə t i
actualization	æ k tʃ u ə l ɪ z eɪ ʃ ə n
acuity	ə k j u ə d i
acuminate	ə k j u m ə n eɪ t
acupuncture	æ k j ə p ʌ ŋ k tʃ ɝ
acyl	æ s ə l
ad	ɑ d
ada	ɑ t ə
ada	eɪ d ɪ
ada	ɑ d ə
adah	æ d ə
adair's	eɪ d ɑ ɹ z
adak	ɑ d ə k
adak	æ d ə k
adalbert	æ d ə l b ɝ t
adam	æ t ə m
adami	æ d ə m i
adams	æ t ə m z
adapt	ə d ɑ p t
adaptation	æ d æ p t eɪ ʃ ə n
adaptation	ə d æ p t eɪ ʃ ə n
adaptations	æ d æ p t eɪ ʃ ə n z
adapted	ə d æ p t ə d
adapted	ə d ɑ p t ə d
adapted	ə d ɑ p t ɪ d
adapted	æ d æ p t ɪ d
adaptive	ə d æ p t ʌ v
adcock	æ d k ɑ k
add	æ t
added	æ d ɪ t
added	ɛ d ɪ d
adders	æ t ɝ z
addict	ɛ d ɪ k t
addiction	ɪ d ɪ k ʃ ə n
addictive	ɪ d ɪ k t ɪ v
addin	ə d i n
addington	æ t ɪ ŋ t ə n
addis	ɑ d ə s
addis	ə d i s
addis	eɪ d ə s
addison	æ d ə s ə n
addison	ɛ d ɪ s ə n
addition	ɪ d ɪ ʃ ə n
additional	ə d ɪ ʃ ə n ə n
additional	ɪ d ɪ ʃ ə n ə l
additionally	ə d ɪ s ə n ə l i
additions	ɪ d ɪ ʃ ə n z
additions	ɔ d ɪ ʃ ə n z
additive	ɛ d ə t ɪ v
additives	æ d ə t ɪ v z
additives	æ d ə d ɪ v z
additives	æ d ɪ d ɪ v z
address	ə d ɹ ə s
address	æ t ɹ ə s
addressed	ə t ɹ ɛ s t
addressing	i d ɹ ɛ s ɪ ŋ
adds	æ d s
ade	ɑ d
adelante	æ d ə l ɛ n t eɪ
adelbert	æ d ə l b ɝ t
adelman	eɪ d ə l m ə n
aden	ə d ɛ n
adherent	æ d h ɪ ɹ ə n t
adherents	æ d h ɪ ɹ ə n t s
adherents	æ t h ɛ ɹ ə n t s
adhesion	ə d h i ʒ ə n
adhesions	ə d h i ʒ ə n z
adi	æ d i
adidas	ə d i t ə s
adidas	æ d ɪ d ə s
adidas	ə d i d ə z
adidas	æ d i d ə s
adipose	æ t i p oʊ s
adirondack	æ t ɝ ɑ n d æ k
adirondack	ə d ɪ ɹ ə n d æ k
adirondacks	æ t ɝ ɑ n d ɛ k s
adjacent	æ dʒ ə s ə n t
adjacent	ə dʒ ə s ə n t
adjectival	æ dʒ æ k t ə v ə l
adjectives	æ dʒ ə k t ɪ v z
adjoint	ə dʒ ɔɪ n d
adjudicated	ɪ dʒ u d ɪ k eɪ t ɪ d
adjudicated	æ dʒ u d ɪ k eɪ t ɪ d
adjudicated	ə dʒ u d ə k eɪ t ɪ d
adjudication	ə dʒ u d ɪ k eɪ ʃ ə n
adjunct	ə dʒ ʌ ŋ k t
adjusted	ə dʒ ʌ s t ə d
adjutant	ə dʒ u t ə n t
adkins	æ t k ɪ n z
adler	æ t l ɝ
admetus	æ d m ɪ t ə s
administration	æ d m ɪ n ɪ s t ɹ eɪ s ə n
administrative	æ d m ɪ n ɪ s t ɹ eɪ t ɪ v
administrative	æ d m ɪ n ɪ s t ɹ ə t ɪ v
administratively	æ d m ɪ n ɪ s t ɹ eɪ t ɪ v l i
administrator	æ d m ɪ n ɪ s t ɹ eɪ t ɝ
administrator's	æ d m ɪ n ɪ s t ɹ eɪ t ɝ z
administrators	æ d m ɪ n ɪ s t ɹ eɪ t ɝ z
admins	ə d m ɪ n z
admire	æ d m aɪ ɝ
admissible	æ d m ɪ s ə b ə l
admits	æ d m ɪ t s
adobe	æ d oʊ b i
adobes	ə d oʊ b ə s
adolescence	æ d ə l ɪ s ə n z
adolescence	æ t ə l ɛ s ə n s
adolf	eɪ d ə l f
adolph	eɪ d ɑ l f
adolph's	eɪ d ɑ l f s
adolphus	ə d ɑ l f ə s
adonis	ə d oʊ n ə s
adopted	ə d æ p t ə d
adriaan	eɪ d ɹ i ə n
adriano	eɪ d ɹ i ɑ n oʊ
adriatic	eɪ t ɹ i æ t ɪ k
adrienne	æ d ɝ i ɛ n
adult	ə d oʊ l t
adult	ə d ɛ l t
adulterous	ə d ə l t ɝ ə s
adulthood	æ d ə l t h ʊ d
advances	ə d v æ n s ə z
advances	æ d f æ n s ɪ z
advances	ə d v æ n s i z
advances	æ d f æ n s ɪ s
adventures	æ d v ɛ n tʃ ə z
adverb	æ t f ɝ b
adversely	ɪ d v ɝ s l i
advert	æ d f ɝ t
advertisement	æ d v ɝ t ɪ s m ə n t
advertorial	æ d v ɝ t ɔ ɹ i ə l
advertorials	æ d v ɝ t ɔ ɹ i ə l z
adverts	æ d f ɝ t s
adverts	æ d v ɝ d z
advice	ə d v aɪ s
advise	æ d v aɪ s
aedh	eɪ d
aegean	eɪ dʒ i ə n
aegis	eɪ dʒ ɪ s
aegis	eɪ dʒ ə s
aegyptus	ɪ dʒ ɪ p t ə s
aelius	eɪ l i ə s
aeolian	eɪ oʊ l i ə n
