a'ter	eɪ t ə ɹ
a'ternoon	eɪ t ə ɹ n u n
a'terwards	eɪ t ə ɹ w ə ɹ d z
a'thegither	eɪ t ə dʒ ɪ t ə ɹ
a'thing	eɪ t ɪ ŋ
a'thinkin	eɪ t ɪ ŋ k ɪ n
a've	ə f
aaanthor	t ɹ ɪ p ə l eɪ n t ə ɹ
aakre	ɑ k ə ɹ
aasvogel	ɑ z f oʊ ɡ ə l
aasvogels	ɑ z f oʊ ɡ ə l z
abaseth	ə b eɪ s ɪ t
abbeville	æ b f ɪ l
abbotsford	æ b ə t s f ə ɹ d
abbotsworthy	æ b ə t s w ə ɹ t i
abbreviate	ə b ɹ i f i eɪ t
abbreviated	ə b ɹ i f i eɪ t ə d
abbreviating	ə b ɹ i f i eɪ t ɪ ŋ
abbreviation	ə b ɹ i f i eɪ ʃ ə n
abbreviations	ə b ɹ i f i eɪ ʃ ə n z
abchester	æ b tʃ ɛ s t ə ɹ
abchurch	æ b tʃ ə ɹ tʃ
abductor	æ b d ʌ k t ə ɹ
abductors	æ b d ʌ k t ə ɹ z
abdulkader	æ b d u l k eɪ d ə ɹ
abdur	æ b d ə ɹ
abdurrahman	æ b d ə ɹ ɹ ɑ m ə n
abedare	ə b ɛ d ə ɹ
abelard	æ b ɪ l ə ɹ d
abelard's	æ b ɪ l ə ɹ d z
abencerrages	ə b ɛ n s ə ɹ ɑ ʒ ɪ z
aber	eɪ b ə ɹ
aberalva	æ b ə ɹ ɑ l f ə
abercorn	æ b ə ɹ k ɔ ɹ n
abercowyn	æ b ə ɹ k oʊ w ɪ n
abercrombie	æ b ə ɹ k ɹ ɑ m b i
abercrombie's	æ b ə ɹ k ɹ ɑ m b i z
abercrombies	æ b ə ɹ k ɹ ɑ m b i z
abercromby	æ b ə ɹ k ɹ ɑ m b i
abercromby's	æ b ə ɹ k ɹ ɑ m b i z
aberdare	æ b ə ɹ d ɛ ɹ
aberdeen	æ b ə ɹ d i n
aberdeen's	æ b ə ɹ d i n z
aberdeenshire	æ b ə ɹ d i n ʃ aɪ ɹ
aberdonian	æ b ə ɹ d oʊ n i ə n
aberdour	æ b ə ɹ d ɔ ɹ
aberfilly	eɪ b ə ɹ f ɪ l i
aberfoil	eɪ b ə ɹ f ɔɪ l
aberford	eɪ b ə ɹ f ə ɹ d
aberfoyle	eɪ b ə ɹ f ɔɪ l
abergann	æ b ə ɹ dʒ æ n
abergavenny	æ b ə ɹ dʒ ə f ɪ n i
abergeldie	æ b ə ɹ ɡ ɛ l d i
aberglyn	æ b ə ɹ ɡ l ɪ n
aberleigh	æ b ə ɹ l ə
abermouth	æ b ə ɹ m u t
abernathy	æ b ə ɹ n æ t i
abernethy	æ b ə ɹ n ɛ t i
abernethy's	æ b ə ɹ n ɛ t i z
abernetty	æ b ə ɹ n ɛ t i
abernuckle	æ b ə ɹ n ʌ k ə l
aberration	æ b ə ɹ eɪ ʃ ə n
aberrations	æ b ə ɹ eɪ ʃ ə n z
abershaw	æ b ə ɹ ʃ ɔ
abertaff	æ b ə ɹ t æ f
abertewey	æ b ə ɹ t u i
aberystwith	æ b ə ɹ ɪ s t w ɪ t
aberystwyth	æ b ə ɹ ɪ ʃ t w aɪ t
abetter	ə b ɛ t ə ɹ
abettor	ə b ɛ t ə ɹ
abettors	ə b ɛ t ə ɹ z
abgarus	æ b ɡ ə ɹ ə s
abhorr'd	ə b h ɔ ə ɹ d
abhorreth	ə b h ɔ ɹ ɪ t
abiathar	ə b aɪ ə t ɑ ɹ
abiders	ə b aɪ d ə ɹ z
abideth	ə b aɪ d ɪ t
abinger	æ b ɪ ŋ ə ɹ
abinger's	æ b ɪ ŋ ə ɹ z
abjuration	æ b dʒ ə ɹ eɪ ʃ ə n
abjurations	æ b dʒ ə ɹ eɪ ʃ ə n z
abjure	æ b dʒ ə ɹ
abjured	æ b dʒ ə ɹ d
abjurement	æ b dʒ ə ɹ m ə n t
abjures	æ b dʒ ə ɹ z
abjuring	æ b dʒ ə ɹ ɪ ŋ
ablative	æ b l ə t ɪ f
abler	eɪ b l ə ɹ
ablethorpe	eɪ b ə l t ɔ ɹ p
abner	æ b n ə ɹ
abner's	æ b n ə ɹ z
aboriginal	æ b ə ɹ ɪ dʒ ə n ə l
aboriginally	æ b ə ɹ ɪ dʒ ə n ə l i
aboriginals	æ b ə ɹ ɪ dʒ ə n ə l z
aborigine	æ b ə ɹ ɪ dʒ ə n i
aborigines	æ b ə ɹ ɪ dʒ ə n i z
abortive	ə b ɔ ɹ t ɪ f
aboukir	ə b aʊ k ə ɹ
aboundeth	ə b aʊ n d ɪ t
abov	ə b ʌ f
above	ə b ʌ f
aboveboard	ə b ʌ f b ɔ ɹ d
aboveground	ə b ʌ f ɡ ɹ aʊ n d
abovemention'd	ə b ʌ f m ɛ n ʃ ə d
abovementioned	ə b ʌ f m ɛ n ʃ ə n d
abovenamed	ə b ʌ f ə n eɪ m d
abovesaid	ə b ʌ f s ɛ d
abramovich	ə b ɹ ɑ m ə f ɪ tʃ
abramovitch	ə b ɹ ɑ m ə f ɪ tʃ
abrasive	ə b ɹ eɪ s ɪ f
abravanel	eɪ b ɹ ə f æ n ə l
absconder	æ b s k ɑ n d ə ɹ
absinth	æ b s ɪ n t
absinthe	æ b s ɪ n t
absinthe's	æ b s ɪ n t ɪ z
absinthes	æ b s ɪ n t i z
absolve	ə b z ɑ l f
absolved	ə b z ɑ l f d
absolves	ə b z ɑ l f z
absolving	ə b z ɑ l f ɪ ŋ
absolvo	ə b z ɑ l f oʊ
absorber	ə b z ɔ ɹ b ə ɹ
absorbers	ə b z ɔ ɹ b ə ɹ z
absorptive	ə b z ɔ ɹ p t ɪ f
abstainer	ə b s t eɪ n ə ɹ
abstainers	ə b s t eɪ n ə ɹ z
abstruser	æ b s t ɹ u z ə ɹ
absurd	ə b s ə ɹ d
absurdam	ə b s ə ɹ d ə m
absurder	ə b s ə ɹ d ə ɹ
absurdest	ə b s ə ɹ d ɪ s t
absurdissimum	ə b s ə ɹ d ə s ə m ə m
absurdities	ə b s ə ɹ d ə t i z
absurdity	ə b s ə ɹ d ə t i
absurdly	ə b s ə ɹ d l i
absurdum	ə b s ə ɹ d ə m
absyrtus	æ b s ə ɹ t ə s
abubeker	ə b ʌ b ɪ k ə ɹ
abuser	ə b j u z ə ɹ
abusers	ə b j u z ə ɹ z
abuseth	ə b j u s ɪ t
abusive	ə b j u s ɪ f
abusively	ə b j u s ɪ f l i
abzar	æ b z ə ɹ
acanthopterygians	ɑ k ɑ n t ɑ p t ɛ ɹ ɪ dʒ i ə n z
acanthus	ɑ k ɑ n t ə s
acarus	æ k ə ɹ ə s
accelerate	æ k s ɛ l ə ɹ eɪ t
accelerated	æ k s ɛ l ə ɹ eɪ t ɪ d
accelerates	æ k s ɛ l ə ɹ eɪ t s
accelerating	æ k s ɛ l ə ɹ eɪ t ɪ ŋ
acceleration	æ k s ɛ l ə ɹ eɪ ʃ ə n
accelerations	æ k s ɛ l ə ɹ eɪ ʃ ə n z
accelerative	æ k s ɛ l ə ɹ eɪ t ɪ f
accelerator	æ k s ɛ l ə ɹ eɪ t ə ɹ
accelleration	æ k s ɛ l ə ɹ eɪ ʃ ə n
accepteth	æ k s ɛ p t ɪ t
acceptor	æ k s ɛ p t ə ɹ
accessary	æ k s ɛ s ə ɹ i
accessories	æ k s ɛ s ə ɹ i z
accessory	æ k s ɛ s ə ɹ i
