a	eɪ
a	æ
a	ɑ
a	ə
a	ʌ
aback	æ b æ k
aback	ə b æ k
abi	æ b i
abi	ɑ b i
abi	ə b i
abdul	æ b d ə l
able	ə b l
able	ə b ə l
abis	ə b ɪ s
aboard	æ b ɔ d
aboard	æ b ɔ ɹ d
aboard	ə b ɔ d
aboard	ə b ɔ ɹ d
abound	ə b aʊ n d
above	ə b ʌ v
abandoned	ə b æ n d ə n d
about	ə b aʊ t
abouts	ə b aʊ t s
accepted	æ k s ɛ p t ɪ d
accepted	ə k s ɛ p t ɪ d
abomination	æ b ɔ m ɪ n eɪ ʃ ə n
abomination	ə b ɔ m ɪ n eɪ ʃ ə n
accept	æ k s ɛ p t
accept	ə k s ɛ p t
access	æ k s ɛ s
access	ə k s ɛ s
accessing	æ k s ɛ s ɪ ŋ
accessing	ə k s ɛ s ɪ ŋ
accepts	æ k s ɛ p t s
accepts	ə k s ɛ p t s
absolute	æ b s ə l u t
according	ə k ɔ ɹ d ɪ ŋ
accomplish	ə k ʌ m p l ɪ ʃ
absolutely	æ b s ɔ l u t l i
absolutely	æ b s ə l u t l i
accidentally	æ k s ə d ɛ n t ə l i
accidentally	æ k s ɪ d ɛ n t ə l i
accounts	ə k aʊ n t s
ache	eɪ k
accident	æ k s ə d ə n t
accident	æ k s ə d ɛ n t
accident	æ k s ɪ d ə n t
accusation	æ k j u z eɪ ʃ ə n
accusation	æ k j ə z eɪ ʃ ə n
accusation	ə k j u z eɪ ʃ ə n
ached	eɪ k t
acorns	ə k ɔ n z
acorns	ə k ɔ ɹ n z
act	æ k t
achievements	ə tʃ i v m ə n t s
acorn	ə k ɔ n
acorn	ə k ɔ ɹ n
acting	æ k t ɪ ŋ
accidents	æ k s ə d ə n t s
accidents	æ k s ə d ɛ n t s
accidents	æ k s ɪ d ə n t s
accidents	æ k s ɪ d ɛ n t s
account	ə k aʊ n t
accurate	æ k j ʊ ɹ eɪ t
accurate	æ k j ʊ ɹ ə t
achievement	ə tʃ i v m ə n t
across	æ k ɹ ɔ s
across	ə k ɹ ɔ s
action	æ k ʃ ə n
actions	æ k ʃ ə n z
adas	ɑ d ə z
adas	ə d æ s
adas	ə d ɑ z
add	æ d
add	ə d
added	æ d ə d
added	æ d ɪ d
added	æ ɾ ə d
added	æ ɾ ɪ d
adds	æ d z
admit	ə d m ɪ t
activity	æ k t ɪ v ɪ t i
actually	æ k tʃ u ə l i
actually	æ k tʃ ə l i
actually	æ k ʃ u ə l i
address	ə d ɹ ɛ s
adorable	ə d ɔ ɹ ə b l
adorable	ə d ɔ ɹ ə b ə l
adobe	eɪ d ə ʊ b
adobe	ə d oʊ b
adobe	ə d ə ʊ b
adobe	ə ʊ b
admits	ə d m ɪ t s
acted	æ k t ɪ d
adult	æ d ə l t
adult	æ d ʌ l t
adult	ə d ʌ l t
adults	æ d ʌ l t s
adults	ə d ʌ l t s
adventurous	æ d v ɛ n t j ʊ ə ɹ ə s
adventurous	æ d v ɛ n t ə ɹ ə s
adventurous	æ d v ɛ n tʃ ə ɹ ə s
advance	ə d v æ n s
adventures	æ d v ɛ n t j ʊ ə ɹ i z
adventures	æ d v ɛ n t j ʊ ə ɹ s
adventures	æ d v ɛ n tʃ ə ɹ s
affects	ə f ɛ k t s
after	æ f t ə ɹ
afternoon	æ f t ə n u n
afternoon	æ f t ə ɹ n u n
afternoon	æ f t ə ɹ n ə ʊ n
afternoon	æ f t ə ɹ n ə ʊ w ʌ n
afternoon	æ f t ə ɹ n ə ʊ ɔ n
afternoon	æ f t ɚ n u n
afternoon	æ f t ɝ n u n
active	æ k t ɪ v
acts	æ k t s
actual	æ k tʃ u ə l
actual	æ k tʃ ə l
actual	æ k ʃ ə l
ada	eɪ d ə
ada	æ d ə
ada	æ ɾ ə
ada	ɑ d ə
ada	ə d ɑ
ada	ə d ə
again	ə ɡ eɪ n
again	ə ɡ ɛ n
afterthought	æ f t ə ɹ θ ɔ t
adding	æ d ɪ ŋ
adjust	ə dʒ ʌ s t
admittance	ə d m ɪ t n s
admittance	ə d m ɪ t ə n s
adventure	æ d v ɛ n t j ʊ ə ɹ
agree	ə ɡ ɹ i
ago	eɪ ɡ ə ʊ
ago	ɑ ɡ oʊ
ago	ɑ ɡ ə ʊ
ago	ə ɡ ə ʊ
agreements	ə ɡ ɹ i m ə n t s
aha	ə h æ
aha	ə h ə
aims	eɪ m z
affect	ə f ɛ k t
affection	ə f ɛ k ʃ ə n
afterglow	æ f t ə ɡ l ə ʊ
aftertaste	æ f t ə t eɪ s t
aftertaste	æ f t ə ɹ t eɪ s t
age	eɪ dʒ
age	ə dʒ
aged	eɪ dʒ d
aggressive	ə ɡ ɹ ɛ s ɪ v
agrees	ə ɡ ɹ i z
ah	ɑ
ah	ə
aid	eɪ d
aisle	aɪ l
airplanes	ɛ ə ɹ p l eɪ n z
algae	æ l ɡ aɪ
algae	æ l ɡ eɪ
algae	ɔ l ɡ eɪ
alex	eɪ l ɛ k s
alex	ə l ɛ k s
alien	eɪ l i ə n
allergic	æ l ə ɹ dʒ ɪ k
allergic	æ l ɚ dʒ ɪ k
allies	æ l aɪ z
allies	æ l i z
allowed	ə l aʊ d
almost	æ l m ɔ s t
almost	æ l m ə s t
almost	æ l m ə ʊ s t
almost	ɑ l m ə s t
almost	ɑ l m ə ʊ s t
almost	ɑ m ə s t
afar	ə f ɑ ɹ
advice	ə d v aɪ s
affected	ə f ɛ k t ɪ d
afford	æ f ə ɹ d
afford	ɑ f ə ɹ d
aidan	eɪ d ə n
aim	eɪ m
aimless	eɪ m l ə s
airplane	ə p l eɪ n
airplane	ɛ ə ɹ p l eɪ n
afraid	ə f ɹ eɪ d
afternoons	æ f t ə n u n z
afternoons	æ f t ə ɹ n u n z
afternoons	æ f t ə ɹ n ə ʊ n z
afternoons	æ f t ə ɹ n ə ʊ w ʌ n z
afternoons	æ f t ɚ n u n z
afternoons	æ f t ɝ n u n z
against	ə ɡ eɪ n s t
agar	æ ɡ ə ɹ
agar	ɑ ɡ ə ɹ
ages	eɪ dʒ ɪ z
agile	æ dʒ aɪ l
agreed	ə ɡ ɹ i d
agreement	ə ɡ ɹ i m ə n t
ahead	ə h ɛ d
aimed	eɪ m d
air	ɛ
air	ɛ ə
air	ɛ ə ɹ
aisles	aɪ l z
alarm	eɪ l ə ɹ m
alarm	æ l ə ɹ m
alarm	æ l ə ɹ ə m
