h	eɪ tʃ
h	h
h	h aɪ
n	n
n	ɛ n
f	f
f	ɛ f
t	t
t	t i
d	d
d	d i
s	s
s	z
s	ɛ s
u	j u
u	u
w	aɪ d ʌ b ə l j u
w	d ʌ b ə l j u
w	j u
w	w
w	w aɪ
w	w ə
w	w ʊ
i	aɪ
i	i
i	ɪ
a	eɪ
a	æ
a	ɑ
a	ə
z	t s
z	z
k	k
k	k eɪ
e	eɪ
e	i
e	ə
l	l
l	w
l	ɛ l
j	dʒ
j	dʒ eɪ
aw	ɔ
b	b
b	b i
aah	ɑ
abdul	æ b d ə l
abis	ə b ɪ s
p	p
p	p i
ai	aɪ
au	aʊ
au	ɔ
v	f
v	v
v	v i
al	æ l
al	ɑ l
al	ɔ l
al	ə l
augh	ɑ
augh	ɔ
ay	aɪ
ay	eɪ
ay	æ ɪ
aback	æ b æ k
aback	ə b æ k
abi	æ b i
abi	ɑ b i
abi	ə b i
abilities	ə b ɪ l ɪ t i z
about	ə b aʊ t
abouts	ə b aʊ t s
aboard	æ b ɔ ɹ d
aboard	ə b ɔ ɹ d
m	m
m	ə m
m	ɛ m
abound	ə b aʊ n d
abandoned	ə b æ n d ə n d
able	ə b l
able	ə b ə l
abomination	ə b ɔ m ə n eɪ ʃ ə n
abomination	ə b ɔ m ɪ n eɪ ʃ ə n
abruptly	eɪ b ɹ ʌ p t l i
abruptly	æ b ɹ ʌ p t l i
abruptly	ɑ b ɹ ʌ p t l i
abruptly	ə b ɹ ʌ p t l i
absolute	æ b s ə l u t
abuse	ə b j u s
abuse	ə b j u z
abuses	ə b j u s ɪ z
abuses	ə b j u z ɪ z
accept	æ k s ɛ p t
accept	ə k s ɛ p t
accepts	ə k s ɛ p t s
accessing	æ k s ɛ s ɪ ŋ
accessing	ə k s ɛ s ɪ ŋ
accomplish	ə k ʌ m p l ɪ ʃ
absent	æ b s ɛ n t
absent	ə b s ɛ n t
accounts	ə k aʊ n t s
ache	eɪ k
ached	eɪ k t
achievements	ə tʃ i v m ə n t s
acted	æ k t ɪ d
actions	æ k ʃ ə n z
absorbed	æ b s ɔ b d
absorbed	æ b s ɔ ɹ b d
absorbed	æ b s ə ɹ b d
accent	æ k s ɛ n t
accent	ə k s ɛ n t
active	æ k t ɪ v
acts	æ k t s
above	ə b ʌ v
absolutely	æ b s ɔ l u t l i
absolutely	æ b s ə l u t l i
accepted	æ k s ɛ p t ɪ d
accepted	ə k s ɛ p t ɪ d
access	æ k s ɛ s
access	ə k s ɛ s
accident	æ k s ə d ə n t
accident	æ k s ə d ɛ n t
accident	æ k s ɪ d ə n t
accidents	æ k s ə d ə n t s
accidents	æ k s ə d ɛ n t s
accidents	æ k s ɪ d ə n t s
accidents	æ k s ɪ d ɛ n t s
according	ə k ɔ ɹ d ɪ ŋ
accurate	æ k j ʊ ɹ eɪ t
accurate	æ k j ʊ ɹ ə t
achievement	ə tʃ i v m ə n t
achievement	ə tʃ i v m ɪ n t
acorns	ə k ɔ ɹ n z
act	æ k t
action	æ k ʃ ə n
activation	æ k t ɪ v eɪ ʃ ə n
actual	æ k tʃ u ə l
actual	æ k tʃ ə l
actual	æ k ʃ u ə l
actual	æ k ʃ ə l
adas	æ d ə s
adas	æ ɾ ə z
adas	ɑ d ə z
adas	ə d æ s
adas	ə d ɑ z
addict	ə d ɪ k t
accidentally	æ k s ə d ɛ n t ə l i
accidentally	æ k s ɪ d ɛ n t ə l i
account	ə k aʊ n t
adding	æ d ɪ ŋ
accusation	æ k j u z eɪ ʃ ə n
accusation	æ k j ə z eɪ ʃ ə n
accusation	ə k j u z eɪ ʃ ə n
address	ə d ɹ ɛ s
adjusted	ə dʒ ʌ s t ɪ d
admit	ə d m ɪ t
admittance	ə d m ɪ t n s
admittance	ə d m ɪ t ə n s
adults	ə d ʌ l t s
adventures	æ d v ɛ n t j ʊ ə ɹ i z
adventures	æ d v ɛ n t j ʊ ə ɹ s
adventures	æ d v ɛ n tʃ ə ɹ s
advise	ə d v aɪ z
advocate	æ d v ə k eɪ t
advocate	æ d v ə k ə t
ada	eɪ d ə
ada	æ d ə
ada	ɑ d ə
ada	ə d ɑ
ada	ə d ə
aeon	eɪ ɔ n
aeon	i ɑ n
aeon	i ɔ n
aeon	i ə n
aeon	ɪ ə n
affect	ə f ɛ k t
affection	ə f ɛ k ʃ ə n
affix	æ f ɪ k s
affix	ə f ɪ k s
added	æ d ɪ d
added	æ ɾ ɪ d
achoo	ɑ tʃ u
achoo	ə tʃ u
acorn	ə k ɔ n
acorn	ə k ɔ ɹ n
across	æ k ɹ ɔ s
across	ə k ɹ ɔ s
acting	æ k t ɪ ŋ
afford	æ f ə ɹ d
afford	ɑ f ə ɹ d
afraid	ə f ɹ eɪ d
african	æ f ɹ ɪ k ə n
o	oʊ
o	ə ʊ
afternoons	æ f t ə n u n z
afternoons	æ f t ə ɹ n u n z
afternoons	æ f t ə ɹ n ə ʊ w ʌ n z
again	ə ɡ eɪ n
again	ə ɡ ɛ n
against	ə ɡ eɪ n s t
against	ə ɡ ɛ n s t
age	eɪ dʒ
age	ə dʒ
ages	eɪ dʒ ɪ z
agglomerate	ə ɡ l ɔ m ə ɹ eɪ t
addicts	ə d ɪ k t s
aggregates	æ ɡ ɹ ə ɡ eɪ t s
aggregates	æ ɡ ɹ ɪ ɡ eɪ t s
aggregates	æ ɡ ɹ ɪ ɡ ə t s
agitated	æ dʒ ɪ t eɪ t ɪ d
agreement	ə ɡ ɹ i m ə n t
addition	ə d ɪ ʃ n
addition	ə d ɪ ʃ ə n
adds	æ d z
adjust	ə dʒ ʌ s t
ah	ɑ
ah	ə
admired	æ d m aɪ ɚ d
activate	æ k t ɪ v eɪ t
adobe	eɪ d ə ʊ b
adobe	æ d ə ʊ b
adobe	ə d oʊ b
adobe	ə d ə ʊ b
adorable	ə d ɔ ɹ ə b l
adorable	ə d ɔ ɹ ə b ə l
activity	æ k t ɪ v ɪ t i
actually	æ k tʃ u ə l i
ahead	ə h ɛ d
aim	eɪ m
air	ɛ ə
air	ɛ ə ɹ
airplanes	ə p l eɪ n z
