ten	t ə n
ten	t ɛ n
one	w ʌ n
one	ɔ n
one	ə ʊ n
and	æ n d
two	t w ɔ
two	t w ə ʊ
sixty	s ɪ k s t i
hundred	h ʌ n d ɹ ə d
hundred	h ʌ n d ɹ ɪ d
six	s ɪ k s
five	f aɪ v
three	θ ɹ i
three	θ ɹ ɪ i
four	f ɔ
four	f ɔ ɹ
thousand	θ aʊ z ə n d
thousand	θ aʊ z ə n t
twentyfour	t w ə n t aɪ f ɔ ɹ
twentyfour	t w ə n t f ɔ
twentyfour	t w ə n t f ɔ ɹ
twentyfour	t w ə n t f ə ɹ
twentyfour	t w ə n t f ʊ ə ɹ
twentyfour	t w ə n t i f ɔ
twentyfour	t w ə n t i f ɔ ɹ
twentyfour	t w ə n t i f ə ɹ
twentyfour	t w ə n t i f ʊ ə ɹ
twentyfour	t w ə n t ə ɹ
twentyfour	t w ə n t ɪ f ɔ
twentyfour	t w ə n t ɪ f ɔ ɹ
twentyfour	t w ə n t ɪ f ə ɹ
twentyfour	t w ə n t ɪ f ə ʊ ə ɹ
twentyfour	t w ə n t ʊ ə ɹ
twentyfour	t w ɛ n t f ɔ
twentyfour	t w ɛ n t f ɔ ɹ
twentyfour	t w ɛ n t f ə ɹ
twentyfour	t w ɛ n t f ʊ ə ɹ
twentyfour	t w ɛ n t i f ɔ ɹ
twentyfour	t w ɛ n t ə ɹ
twentyfour	t w ɛ n t ɪ f ɔ
twentyfour	t w ɛ n t ɪ f ɔ ɹ
twentyfour	t w ɛ n t ɪ f ə ɹ
twentyfour	t w ɛ n t ɪ f ə ʊ ə ɹ
twentyfour	t w ɛ n tʃ f ɔ
twentyfour	t w ɛ n tʃ f ɔ ɹ
thirtytwo	θ ɚ t i t w oʊ
thirtytwo	θ ɚ t i t w ɔ
thirtytwo	θ ɚ t i t w ə ʊ
thirtytwo	θ ɚ t i t w ʊ
fifty	f ɪ f t i
thirty	θ ɚ t i
fifteen	f ɪ f t i n
fifteen	h ɪ f t i n
seventy	s ɛ v ə n t i
forty	f ɔ t i
forty	f ɔ ɹ t i
seventeen	s ɛ v ə n t i n
sixtythree	s ɪ k s t aɪ ð ɹ i
sixtythree	s ɪ k s t aɪ θ ɹ i
sixtythree	s ɪ k s t i θ ɹ i
sixtythree	s ɪ k s t ɪ θ ɹ i
sixtythree	s ɪ k s t ɪ θ ɹ ɪ i
fortyfive	f ɔ t i f aɪ v
fortyfive	f ɔ t i f ɪ v
fortyfive	f ɔ ɹ t i f aɪ v
fortyfive	f ɔ ɹ t i f ɪ v
nine	n aɪ n
nine	n i n
nine	n ɪ n
ninety	n aɪ n t i
eight	eɪ t
