a	eɪ
a	æ
a	ɑ
a	ɔ
a	ə
abdul	æ b d ə l
aback	ə b æ k
abi	æ b i
abi	ɑ b i
abi	ə b aɪ
abi	ə b i
abis	æ b ɪ s
abis	ə b ɪ s
able	ə b l
able	ə b ə l
aboard	ə b ɔ d
aboard	ə b ɔ ɹ d
abandoned	ə b æ n d n d
about	ə b aʊ t
abound	ə b aʊ n d
above	ə b ʌ v
abouts	ə b aʊ t s
abomination	ə b ɑ m ə n eɪ ʃ ə n
abomination	ə b ɑ m ɪ n eɪ ʃ ə n
accepted	æ k s ɛ p t ɪ d
accepted	ə k s ɛ p t ɪ d
absolute	æ b s ə l j u t
absolute	æ b s ə l u t
accept	æ k s ɛ p t
accept	ə k s ɛ p t
accepts	ə k s ɛ p t s
access	æ k s ɛ s
access	ə k s ɛ s
absolutely	æ b s ə l j u t l i
absolutely	æ b s ə l j u t l ɪ
accident	æ k s ɪ d ə n t
accessing	æ k s ɛ s ɪ ŋ
accessing	ə k s ɛ s ɪ ŋ
according	ə k ɔ d ɪ ŋ
according	ə k ɔ ɹ d ɪ ŋ
accidents	æ k s ə d ɛ n t s
accidents	æ k s ɪ d ə n t s
accidents	æ k s ɪ d ɛ n t s
accidentally	æ k s ə d ɛ n t ə l i
accidentally	æ k s ɪ d ɛ n t ə l i
account	ə k aʊ n t
accomplish	ə k ɔ m p l ɪ ʃ
accomplish	ə k ʌ m p l ɪ ʃ
accounts	ə k aʊ n t s
accurate	æ k j ə ɹ ɪ t
accurate	æ k j ʊ ɹ ə t
ache	eɪ k
accusation	æ k j u z eɪ ʃ ə n
accusation	æ k j ə z eɪ ʃ ə n
ached	eɪ k t
acorns	eɪ k ɔ n z
achievement	ə tʃ i v m ə n t
acorn	eɪ k ɔ n
achievements	ə tʃ i v m ə n t s
act	æ k t
across	ə k ɹ ɔ s
acted	æ k t ɪ d
acting	æ k t ɪ ŋ
action	æ k ʃ ə n
active	æ k t ɪ v
actions	æ k ʃ ə n z
activity	æ k t ɪ v ə t i
activity	æ k t ɪ v ɪ t i
acts	æ k t s
adas	eɪ d ə s
adas	eɪ d ə z
adas	æ d ə s
adas	æ d ə z
adas	ɑ d ə z
adas	ə d æ s
adas	ə d æ ʃ
adas	ə d ɑ s
adas	ə d ɑ z
adas	ə d ə s
actual	æ k t j ʊ ə l
actual	æ k tʃ u ə l
actual	æ k tʃ ʊ ə l
add	æ d
actually	æ k t j ʊ ə l i
actually	æ k tʃ ʊ ə l i
ada	eɪ d ə
ada	æ d ə
ada	æ ɾ ə
ada	ɑ d ə
ada	ə d ɑ
ada	ə d ə
adding	æ d ɪ ŋ
adjust	ə dʒ ʌ s t
added	æ d ə d
added	æ d ɪ d
added	æ ɾ ə d
added	æ ɾ ɪ d
address	ə d ɹ ɛ s
adds	æ d z
adobe	ə d ə ʊ b
adobe	ə d ə ʊ b i
admit	ə d m ɪ t
adorable	ə d ɔ ɹ ə b ə l
admittance	ə d m ɪ t n s
admittance	ə d m ɪ t ə n s
advance	ə d v ɑ n s
admits	ə d m ɪ t s
adult	æ d ʌ l t
adults	æ d ʌ l t s
adventure	ə d v ɛ n tʃ ə
adventure	ə d v ɛ n tʃ ə ɹ
afar	ə f ɑ
adventures	ə d v ɛ n tʃ ə z
advice	ə d v aɪ s
adventurous	ə d v ɛ n tʃ ə ɹ ə s
affect	æ f ɛ k t
affect	ə f ɛ k t
affects	æ f ɛ k t s
affects	ə f ɛ k t s
affected	ə f ɛ k t ɪ d
affection	ə f ɛ k ʃ ə n
after	æ f t ə ɹ
after	ɑ f t ə
after	ɑ f t ə ɹ
afford	ə f ɔ d
afraid	ə f ɹ eɪ d
afterglow	æ f t ə ɡ l ə ʊ
afterglow	ɑ f t ə ɡ l ə ʊ
afternoon	ɑ f t ə n u n
again	ə ɡ eɪ n
again	ə ɡ ɛ n
afternoons	ɑ f t ə n u n s
afternoons	ɑ f t ə n u n z
against	ə ɡ ɛ ɪ n s t
age	eɪ dʒ
aftertaste	ɑ f t ə t eɪ s t
agar	eɪ ɡ ɑ
agar	eɪ ɡ ə
agar	ə ɡ ɑ
aged	eɪ dʒ d
ages	eɪ dʒ ɪ z
agile	æ dʒ aɪ l
agree	ə ɡ ɹ i
afterthought	æ f t ə ɹ θ ɔ t
afterthought	æ f t ə θ ɔ t
afterthought	ɑ f t ə ɹ θ ɔ t
afterthought	ɑ f t ə θ ɔ t
ago	eɪ ɡ ə ʊ
ago	ɑ ɡ ə ʊ
ago	ə ɡ ə ʊ
aggressive	ə ɡ ɹ ɛ s ɪ v
agreed	ə ɡ ɹ i d
agrees	ə ɡ ɹ i z
ah	ɑ
ah	ɔ
ah	ə
aid	eɪ d
agreement	ə ɡ ɹ i m ə n t
aidan	eɪ d ə n
agreements	ə ɡ ɹ i m ə n t s
ahead	ə h ɛ d
aim	eɪ m
aha	ɑ h ɑ
aims	eɪ m z
aimed	eɪ m d
air	ɛ
air	ɛ ə
air	ɛ ə ɹ
aisle	aɪ l
aimless	eɪ m l ə s
aisles	aɪ l z
airplane	ɛ ə p l eɪ n
alarm	ə l ɑ m
airplanes	ɛ ə p l eɪ n z
alert	ə l ə t
alas	æ l ə s
alas	ə l æ s
alas	ə l ɑ s
algae	æ l dʒ i
algae	æ l ɡ i
alex	æ l ɪ k s
alex	ə l ɛ k s
alice	æ l ɪ s
alices	æ l ɪ s i z
alices	æ l ɪ s ɪ z
alexs	ə l ɛ k s ɪ z
alien	eɪ l i ə n
align	ə l aɪ n
alighted	ə l aɪ t ə d
alighted	ə l aɪ t ɪ d
allergic	æ l ə dʒ ɪ k
alike	æ l aɪ k
alike	ə l aɪ k
alive	æ l aɪ v
alive	æ l ɪ v
all	ɔ l
all	ə l
alley	æ l i
allow	æ l ə ʊ
allow	ə l aʊ
allies	æ l aɪ z
allows	æ l ə ʊ z
allows	ə l aʊ z
allowed	ə l aʊ d
alligator	æ l ɪ ɡ eɪ t ə
alone	ə l ə ʊ n
alone	ə l ə ʊ n i
almost	ɔ l m ə s
almost	ɔ l m ə ʊ s t
along	ə l ɔ ŋ
almighty	ɔ l m aɪ t i
aloud	ə l aʊ d
already	ɔ l ɹ ɛ d i
alongside	ə l ɔ ŋ s aɪ d
alright	ɔ l ɹ aɪ t
also	ɔ l s ə ʊ
always	ɔ l w eɪ z
always	ɔ l w ɪ z
am	æ m
am	ɑ m
am	ə m
