a	eɪ
a	æ
a	ɑ
a	ə
a	ʌ
aback	ə b æ k
abdul	ɑ b d ʊ l
abis	æ b ɪ s
abis	ə b ɪ s
abi	æ b i
abi	ɑ b i
able	eɪ b l
able	eɪ b ə l
able	ə b l
able	ə b ə l
abandoned	ə b æ n d n d
abandoned	ə b æ n d ə n d
aboard	ə b ɔ ɹ d
about	ə b aʊ t
abouts	ə b aʊ t s
abomination	ə b ɑ m ə n eɪ ʃ ə n
abomination	ə b ɑ m ɪ n eɪ ʃ ə n
accept	æ k s ɛ p t
accept	ə k s ɛ p t
accepted	æ k s ɛ p t ɪ d
access	æ k s ɛ s
access	ə k s ɛ s
abound	ə b aʊ n d
above	ə b ʌ v
accessing	æ k s ɛ s ɪ ŋ
accessing	ə k s ɛ s ɪ ŋ
accepts	æ k s ɛ p t s
accepts	ə k s ɛ p t s
accident	æ k s ə d ə n t
accident	æ k s ə d ɛ n t
accidents	æ k s ə d ə n t s
accidents	æ k s ə d ɛ n t s
account	ə k aʊ n t
according	ə k ɔ ɹ d ɪ ŋ
accomplish	ə k ɑ m p l ɪ ʃ
absolute	æ b s ə l j u t
absolute	æ b s ə l u t
absolutely	æ b s ə l u t l i
accidentally	æ k s ə d ɛ n t ə l i
accidentally	æ k s ɪ d ɛ n t ə l i
accounts	ə k aʊ n t s
ache	eɪ k
accusation	æ k j u z eɪ ʃ ə n
accusation	æ k j ə z eɪ ʃ ə n
accurate	æ k j ə ɹ ɪ t
achievements	ə tʃ i v m ə n t s
across	ə k ɹ ɔ s
achievement	ə tʃ i v m ə n t
ached	eɪ k t
action	æ k ʃ ə n
actions	æ k ʃ ə n z
acorns	eɪ k ɔ ɹ n z
acorns	eɪ k ɚ n z
acorn	eɪ k ɔ ɹ n
acorn	eɪ k ɚ n
act	æ k t
acted	æ k t ɪ d
active	æ k t ɪ v
acts	æ k s
acts	æ k t s
actually	æ k tʃ u ə l i
acting	æ k t ɪ ŋ
activity	æ k t ɪ v ə t i
activity	æ k t ɪ v ɪ t i
adas	eɪ d ə s
adas	eɪ d ə z
adas	æ d æ s
adas	æ d ə s
adas	æ d ə z
adas	æ ɾ ə z
adas	ɑ d ə z
adas	ə d æ s
adas	ə d ɑ z
adas	ə d ɑ ʃ
address	æ d ɹ ɛ s
address	ə d ɹ ɛ s
actual	æ k tʃ u ə l
actual	æ k tʃ ə l
adding	æ d ɪ ŋ
adds	æ d z
admit	ə d m ɪ t
adobe	ə d oʊ b i
admits	ə d m ɪ t s
advance	ə d v æ n s
ada	eɪ d ə
ada	æ d ə
ada	æ ɾ ə
ada	ə d ɑ
ada	ə d ə
adorable	ə d ɔ ɹ ə b ə l
adult	ə d ʌ l t
adults	ə d ʌ l t s
adventurous	æ d v ɛ n tʃ ɚ ʌ s
adventurous	ə d v ɛ n tʃ ɚ ʌ s
affection	ə f ɛ k ʃ ə n
afraid	ə f ɹ eɪ d
afternoons	æ f t ɚ n u n z
afterthought	æ f t ɚ θ ɔ t
add	æ d
add	ə d
added	æ d ə d
added	æ d ɪ d
agreed	ə ɡ ɹ i d
adventures	æ d v ɛ n tʃ ɚ z
adventures	ə d v ɛ n tʃ ɚ z
affect	ə f ɛ k t
agreements	ə ɡ ɹ i m ə n t s
aim	eɪ m
affects	æ f ɛ k t s
affects	ə f ɛ k t s
adjust	ə dʒ ʌ s t
admittance	ə d m ɪ t n s
admittance	ə d m ɪ t ə n s
after	æ f t ə ɹ
after	æ f t ɚ
aimed	eɪ m d
adventure	æ d v ɛ n tʃ ɚ
adventure	ə d v ɛ n tʃ ɚ
afternoon	æ f t ɚ n u n
air	ɛ ə ɹ
air	ɛ ɚ
air	ɛ ɹ
afar	ʌ f æ ɹ
again	ə ɡ eɪ n
again	ə ɡ ɛ n
aisles	aɪ l z
alarm	ə l ɑ ɹ m
advice	æ d v aɪ s
alert	ə l ɝ t
against	ə ɡ ɛ n s t
agar	eɪ ɡ ɑ ɹ
agar	æ ɡ ə ɹ
agar	ɑ ɡ ɑ ɹ
ages	eɪ dʒ ɪ z
agile	æ dʒ aɪ l
agile	æ dʒ ə l
alice	æ l ɪ s
affected	ə f ɛ k t ɪ d
afford	ə f ɔ ɹ d
afterglow	æ f t ə ɡ l ə ʊ
afterglow	æ f t ə ɹ ɡ l oʊ
afterglow	æ f t ɚ ɡ l oʊ
agree	ə ɡ ɹ i
alexs	ə l ɛ k s ɪ z
alighted	ə l aɪ t ə d
alighted	ə l aɪ t ɪ d
aftertaste	æ f t ɚ t eɪ s t
alley	æ l i
allow	æ l oʊ
allow	æ l ə ʊ
allow	ə l aʊ
allowed	ə l aʊ d
ago	ɑ ɡ oʊ
ago	ɑ ɡ ə ʊ
ago	ə ɡ oʊ
agreement	ə ɡ ɹ i m ə n t
ahead	ə h ɛ d
aimless	eɪ m l ə s
airplane	ɛ ə ɹ p l eɪ n
alas	æ l ə s
alas	ə l æ s
almost	oʊ m oʊ s t
almost	ɑ l m oʊ s t
almost	ɔ l m oʊ s t
alongside	ə l ɑ ŋ s aɪ d
alongside	ə l ɔ ŋ s aɪ d
although	ɑ l ð oʊ
although	ɔ l ð oʊ
ambles	æ m b ə l z
ambition	æ m b ɪ ʃ ə n
american	ə m ɛ ɹ ə k ə n
american	ə m ɛ ɹ ɪ k æ n
american	ə m ɛ ɹ ɪ k ə n
alices	æ l ɪ s i z
alices	æ l ɪ s ɪ z
align	ə l aɪ n
alike	ə l aɪ k
all	ɑ l
all	ɔ l
all	ə l
alive	ə l aɪ v
alligator	æ l ɪ ɡ eɪ t ɚ
alligator	æ l ɪ ɡ eɪ ɾ ɚ
almighty	ɔ l m aɪ t i
alright	ɔ l ɹ aɪ t
an	æ n
an	ɑ n
an	ə n
anaconda	æ n ə k ɔ n d ə
always	ɑ l w eɪ z
always	ɔ l w eɪ z
always	ɔ l w i z
always	ɔ l w ə z
amazement	ə m eɪ z m ə n t
america	ə m ɛ ɹ ə k ə
america	ə m ɛ ɹ ɪ k ə
among	ə m ɔ ŋ
among	ə m ʌ ŋ
amounts	ə m aʊ n t s
age	eɪ dʒ
ancestor	æ n s ɛ s t ɚ
andy	æ n d i
angle	æ ŋ ɡ l
angle	æ ŋ ɡ ə l
and	æ n d
and	ɑ n d
and	ə n d
angers	eɪ n dʒ ɚ z
angers	æ n dʒ ɚ z
angry	æ ŋ ɡ ɹ i
animal	æ n ɪ m ə l
