1/2	h ˈɑ f
10	t ˈɛ n
160	w ˈʌ n h ˈʌ n d ɹ ɪ d ˈæ n d s ˈɪ k s t i
200	t ˈu h ˈʌ n d ɹ ɪ d
24	t w ˈɛ n t i f ˈɔ ɹ
3/4	θ ɹ i k w ɔ t ə z
5000	f ˈa ɪ v θ ˈa ʊ z ə n d
6	s ˈɪ k s
PA's	p ˈɑ z
TRUE	t ɹ ˈu
a	ə
a-i	ˈe ɪ ˈa ɪ
a-l	ˈe ɪ ˈɛ l
a-u	ˈe ɪ j ˈu
a-u-g-h	ˈe ɪ j ˈu d͡ʒ ˈi ˈe ɪ t͡ʃ
a-w	ˈe ɪ d ˈʌ b ə l j ˌu
a-y	ˈe ɪ w ˈa ɪ
aah	ˈɑ
aback	ə b ˈæ k
abandoned	ə b ˈæ n d ə n d
abdul	æ b d ˈu l
abi	ə b i
abi's	ə b i z
abilities	ə b ɪ l ə t ˌi z
abis	ˈæ b i z
able	ˈe ɪ b ə l
aboard	ə b ˈɔ ɹ d
abomination	ə b ˌɑ m ə n ˈe ɪ ʃ ə n
abound	ə b ˈa ʊ n d
about	ə b ˈa ʊ t
abouts	ə b ˌa ʊ t s
above	ə b ˈʌ v
abruptly	ə b ɹ ˈʌ p t l i
absent	æ b s ˈɛ n t
absent	ˈæ b s ə n t
absolute	ˈæ b s ə l ˌu t
absolutely	ˌæ b s ə l ˈu t l i
absorbed	ə b s ɔ b d
abuse	ə b j ˈu s
abuse	ə b j ˈu z
abuses	ə b j ˈu z ɪ z
abuses	ə b j ˈu s ɪ z
accent	æ k s ə n t
accept	æ k s ˈɛ p t
accepted	æ k s ˈɛ p t ɪ d
accepts	æ k s ˈɛ p t s
access	ˈæ k s ˌɛ s
accessing	ˈæ k s ˌɛ s ɪ ŋ
accident	ˈæ k s ə d ə n t
accidentally	ˌæ k s ə d ˈɛ n t ə l l i
accidents	ˈæ k s ə d ə n t s
accomplish	ə k ˈɑ m p l ɪ ʃ
according	ə k ˈɔ ɹ d ɪ ŋ
account	ə k ˈa ʊ n t
accounts	ə k ˈa ʊ n t s
accurate	ˈæ k j ˈu ɹ ɪ t
accusation	ˌæ k j u z ˈe ɪ ʃ ə n
ache	ˈe ɪ k
ached	ˈe ɪ k t
achievement	ə t͡ʃ ˈi v m ə n t
achievements	ə t͡ʃ ˈi v m ə n t s
achoo	æ t͡ʃ u
acorn	ˈe ɪ k ɔ ɹ n
acorns	ˈe ɪ k ɔ ɹ n z
across	ə k ɹ ˈɔ s
