about	ə ˈb ɐ ʊ t
about	ə ˈb o ʊ t
accend	æ k ˈs ɛ n d
Adam	ˈæ ɾ m̩
Adam	ˈæ ɾ ə m
added	ˈæ ɾ ə d
added	ˈæ ɾ ɪ d
added	ˈa d ə d
added	ˈa d ɪ d
addition	ə ˈd ɪ ʃ n̩
Adelaide	ˈæ d ɜ l æ ɪ̯ d
aerose	ˈi ˌɹ ə ʊ z
agglutinin	ə ˈɡ l uː ʔ n̩ ɪ n
album	ˈa ɫ b̚ m̩
alienation	ˌe ɪ l i ə ˈn e ɪ ʃ ə n
alignment	ə ˈɫ a ɪ n m ə n t
allergies	ˈæ l ə d͡ʒ i z
allergies	ˈæ l ɚ d͡ʒ i z
allergy	ˈæ l ə d ʒ i
allergy	ˈæ l ɚ d͡ʒ i
almanac	ˈɑ l m ə n æ k
alpha	ˈæ ɫ f ə
amatory	ˈɑː m ə t ə ɹ ɪ
amatory	ˈæ m ə ˌt ɔ ɚ̯ i
amphibious	æ m ˈf ɪ b i ə s
an	ˈɛ ə n
analects	ˈæ n ə ˌl ɛ k t s
Andrew	ˈeᵊ n ˌd̠ ɹ̠ ˔ʷ ʊ̈ u
Andrew	ˈæ n ˌd̠ ɹ̠ʷ ˔ ʊ̈ u
angsts	e ɪ ŋ k s t s
angsts	e ɪ ŋ k s t s
anthropomorphic	ˌæ̃ n̪ θ ɹ̠ ə p ə ˈm ɔ ɹ̠ f ɪ̈ k
aphorism	ˈæ f ə ɹ ɪ z m̩
argh	ɑ ɹ ɣ
argh	ɑ ɣː
Aristotle	ˈæ ɹ ɪ ˌs t ɑ ɾ ɫ̩
Aristotle	ˈɛ ɹ ɪ ˌs t ɑ ɾ ɫ̩
Arlon	ˈɑ ɹ ɫ ɔː n
Arlon	ˈɑː ɫ ɔː n
art	ɑ̈ ɹ t
art	ɐ ɹ t
Atlanta	æ t ˈl æ ɾ̃ ə
Atlanta	æ t ˈl æ n ə
attic	ˈæ ɾ ɪ k
aula	ˈɔː l a
aunt	ɑː n t
aunt	äː n t
aunt	ɐː n t
aunt	ɒː n t
aunt	ɑː n t
aunt	aː n t
aunt	äː n t
aunt	ɑː n t
aunt	æ n t
aunt	ɛ ə n t
aunt	e ə n t
aunt	a n t
aunt	æ n t
aunt	æ n t
aunt	ɛ ə n t
aunt	e ə n t
auto	ˈɑ ɾ o ʊ
autumn	ˈɑ ɾ ɪ̈ m
autumn	ˈɑ ɾ m̩
availability	ə ˌv e ɪ l ə ˈb ɪ l ɪ t ɪ
aw	ɔ̃ː
aw	ɒ̃ː
aw	ɔ ə
aw	o ə
aw	ʊ ə
aw	ɒ̃ː
ayuh	ˀe ɪ ˈʌˀ
baa	b æ̰ː
baa	b æ̰ˀ æ̰ˀ æ̰ˀ æ̰ˀ
backspin	ˈb æ k ˌs p ɪ n
bacterial	b æ k ˈt ɪ ə ɹ i ə ɫ
bail	ˈb e ɪ̯ ə ɫ
bail	b e ə̯ ɫ
balancelle	b æ l ə n ˈs e ɫ
baldric	ˈb ɔː ɫ d ɹ ɪ k
bale	ˈb e ɪ̯ ə ɫ
bale	b e ə̯ ɫ
Balt	b ɔː l t
Balt	b ɑ l t
bank	b e ɪ ŋ k
bank	b e ɪ ŋ k
barn	b ɑ ɹ n
barn	b ɑ ɻ n
barn	b a ɾ n
barn	b ɒ ə n
barn	b ɑː n
barn	b ɐː n
barn	b aː n
bashful	ˈb æ ʃ f ə ɫ
bashful	ˈb æ ʃ f ʊ ɫ
bath	b ɑː θ
bath	b ɑː t̪ʰ
bath	b ɑː t̪
bath	b æ θ ~ b ɛ ə θ ~ b e ə θ
bath	b a θ ~ b æ θ
bath	b æ θ ~ b ɛ ə θ ~ b e ə θ
Bautzen	ˈb a ʊ t s ə n
beagle	ˈb̥ iː ɡ ə ɫ
beared	b ɛː d
beared	b ɛ ɚ̯ d
beauty	ˈb j u ɾ i
bedight	b ɪ ˈd ʌ ɪ t
bedight	b ɪ ˈd ʌ ɪ t
beetle	ˈb i ɾ ə ɫ
befang	b ə ˈf æ ŋ
better	ˈb ɛ ɾ ɚ
betther	ˈb ɛ t̪ ɚ
betting	ˈb ɛ ɾ ɪ ŋ
bike	b ɐ ɪ k
bill	b ɪ ɫ
Bill	b ɪ ɫ
bitey	ˈb a ɪ̯ ɾ i
bitty	b ɪ ɾ i
bleach	b l i t͡ʃ
bleach	b l iː t͡ʃ
bleacher	ˈb ɫ i t͡ʃ ɚ
bleacher	ˈb l iː t͡ʃ ə
blem	b l ɛ m
blem	b l ɛ m
blicky	ˈb l ɪ k i
bockety	ˈb ɑ k ə t iː
bottle	ˈb̥ ɑ ɾ ɫ̩
bottle	ˈb ɑ ɾ ɫ̩
bountiful	ˈb a ʊ̯ n ɾ ə f ə ɫ
boutye	ˈb ɐ ʏ t͡ʃ ə
brakeforce	b ɹ e ɪ k f ɔː ɹ s
breach	b ɹ iː t ʃ
break	b ɹʷ e ɪ̯ k
Breault	b ɹ o ʊ̯
brew	b ɹ ʉ w
Brighton	ˈb ɹ a ɪ̯ ʔ ə n
British	ˈb ɹ ɪ ɾ ɪ ʃ
buccopalatal	ˌb ʌ kʰ o ʊː ˈpʰ æː l ə ɾ ɫ̩
bumboclaat	b ʌ m b ə k l ɑ t
butted	ˈb ʌ ɾ ɨ d
butter	ˈb ɐ tʰ ə
butter	ˈb ʌ ɾ ɚ
butter	ˈb a ɾ a
butter	ˈb ʌ ʔ ɚ
butterfly	ˈb ʌ ɾ ɚ f l a ɪ
butterfly	ˈb ʌ t ə f l a ɪ
butterfly	ˈb ʌ ɾ ɚ f l a ɪ
butting	ˈb ʌ ɾ ɪ ŋ
buttings	ˈb ʌ ɾ ɪ ŋ z
cacoepy	k ə ˈk ə ʊ ɪ p ɪ
Cain	kʰ e ɪ n
cake	kʰ e ɪ k
calculable	ˈkʰ æ ɫ k j ə ˌl ə b l̩
cam	k æ m
Cambodia	k æ m ˈb o ʊ d i ə
came	kʰ e ɪ̯ m
camp	kʰ ɛ ə m p
camp	kʰ e ə m p
camp	kʰ ɛ ə m p
camp	kʰ e ə m p
can	ˈkʰ æ n
can	ˈkʰ ɛ ə n
can	ˈkʰ e ə n
can	kʰ ə n
can	kʰ n̩
Canada	kʰ ɛ ə n ə ɾ ə
Canada	kʰ e ə n ə d ə
Canadian	kʰ ə ˈn e ɪ ɾ i ə n
can't	k æ n ʔ
can't	kʰ ẽ ə̃ n t
can't	kʰ ɪ̃ ə̃ n t
cap	kʰ æ p
caramba	k a ˈɹ a m b a
cathedra	k ə ˈθ iː d ɹ ə
caught	kʰ ɔː t
caught	k̠ʰ oː t
caught	kʰ ɔ t
caught	kʰ ɔ ə̯ t
caught	kʰ o ə̯ t
caught	kʰ ʊ ə̯ t
caught	kʰ ɑ t
caught	kʰ ɒ t
cauterize	ˈkʰ ɔ ɾ ə ɹ a ɪ z
cauterize	ˈkʰ ɑ ɾ ə ɹ a ɪ z
ceili	k e ɪ l i
ceramah	t͡ʃ ə ˈr a m ʌ
chai	χ a i̯
chance	t͡ʃʰ ɛ ə n s
chance	t͡ʃʰ e ə n s
chance	t͡ʃʰ æ n s
chance	t͡ʃʰ a n s
chance	t͡ʃʰ eː n s
chance	t͡ʃʰ ɛ ə n s
chance	t͡ʃʰ e ə n s
chance	t͡ʃʰ ɑː n s
chance	t͡ʃʰ ɐː n s
chance	t͡ʃ ɑː n s
Chance	t͡ʃʰ ɛ ə n s ~ t͡ʃʰ e ə n s
Chance	t͡ʃʰ æ n s ~ t͡ʃʰ a n s
Chance	t͡ʃʰ ɛ ə n s ~ t͡ʃʰ e ə n s
Chance	t͡ʃʰ ɑː n s
Chance	t͡ʃʰ ɐː n s
chatted	ˈt͡ʃ æ ɾ ɨ d
chattel	ˈt͡ʃ æ ɾ ɫ̩
cheated	ˈt͡ʃ i ɾ ɨ d
check	t͡ʃ ɛ k̚
chlordiazepoxide	ˈk l ɔː r ˌd a ɪ ə z e p ˈo k s a ɪ d
choo	t ʃ uː
circle	ˈs ɜː k ə ɫ
circle	ˈs ɝ k ə ɫ
city	ˈs ɪ tʰ iː
city	ˈs ɪ ɾ i
clamming	ˈk l a m ɘ n
clay	k l̥ e ɪ
cleanup	ˈkʰ l iː ˌn ʌ p
click	kʰ l̥ ɪ k
cliff	k l̥ʰ ɪ f
Clinton	ˈk l ɪ n ʔ n̩
clip	k l̥ʰ ɪ p
coccus	ˈkʰ ɑ k ə s
collaboration	kʰ ə ˌl æ b ə ˈɹ e ɪ̯ ʃ ə n
comfortable	ˈkʰ ʌ ɱ f tʰ ə̥ b ɫ̩
comfortable	ˈkʰ ɐ ɱ f t ɘ b ɫ̩
comfy	ˈkʰ ʌ ɱ f i
comfy	kʰ ʌ m p f i
committee	k ə ˈm ɪ t i
community	k ə ˈm j u n ə ɾ i
Comox	ˈkʰ o ʊ ˌm ɒ k s
comptroller	k ə m p ˈt ɹ o ʊ l ə ɹ
comptroller	k ə m ˈt ɹ o ʊ l ə ɹ
concoct	kʰ ə ŋ ˈkʰ ɒ k t
consigliere	ˌk ɒ n s ɪ l ˈj ɛ ɹ i
coolly	ˈk uʷ ɫ l i
coolly	ˈk ʉː l i
cores	kʰ o̞ ɹ z
cottage	ˈk ɑ ɾ ɪ d͡ʒ
coulda	ˈkʰ ʊ d ə
couldn't	ˈk ʊ n ʔ
countable	ˈkʰ a ʊ n ɾ ə b ɫ̩
country	ˈkʰ ʌ n t̠ ɹ̠̊ ˔ʷ i
craytur	ˈk ɹ eː t̪ ə ɹ
creation	k ɹ iː ˈe ɪ ʃ ɘ n
creep	kʰ ɹ iː p
crisscross	ˈk ɹ ɪ s ˌk ɹ ɔ s
crisscross	ˈk ɹ ɪ s ˌk ɹ ɒ s
croissant	kʰ ɹ̥ ə ˈs ɑ n t
cryptography	k ɹ̥ ɪ p ˈtʰ ɒ ɡ ɹ ə f iː
Cuban	ˈk j ʉː b ə n
Cuban	ˈk j uː b ə n
Cuban	ˈk j u b ə n
culprit	ˈkʰ ʌ ɫ p ɹ̥ ɪ t
cunt	kʰ ʌ̃ n t
cymbal	ˈs ɪ m b ɫ̩
dance	d ɛ ə n s
dance	d e ə n s
dance	d æ n s
dance	d a n s
dance	d ä n s
dance	d æː n s
dance	d ɑː n s
dance	d äː n s
dance	d ɐː n s
dance	ɖ ɑː n s
Daniel	ˈd a n j ə l
darty	ˈd ɑ ɹ ɾ i
data	ˈd æ ɾ ə
daydream	ˈd e ɪ d͡ʒ ɹ iː m
dayouth	d a ˈjː uː θ
dayouth	d æ ˈjː uː θ
dayum	ˈd æ̙ j ə m
dayum	ˈd e ə j ə m
dean	d iː n
dean	d ĩː n
Delphi	ˈd ɛ ɫ f i
delta	ˈd ɛ ɫ t ə
Denton	d ɪ n ʔ n̩
desirable	d ɪ ˈz a ɪ j ə ɹ ə b ə ɫ
didn't	ˈd ɪ n ʔ
differential	d ɪ f ə ˈɹ ə n ʃ ə ɫ
diggety	ˈd ɪ ɡ ə ɾ i
dight	d ʌ ɪ t
dingaling	ˈd ɪ ŋ ə l ɪ ŋ
didn't	ˈd ɪ n ʔ
differential	d ɪ f ə ˈɹ ə n ʃ ə ɫ
diggety	ˈd ɪ ɡ ə ɾ i
dight	d ʌ ɪ t
dingaling	ˈd ɪ ŋ ə l ɪ ŋ
disentangle	ˌd ɪ s ɪ n ˈt æ ŋ ɡ ə ɫ
disentitle	ˌd ɪ s ɪ n ˈt a ɪ t ə ɫ
dispel	d ɪ ˈs p ɛ ɫ
dispensable	d ɪ s ˈpʰ ɛ n s ə b ɫ̩
dissemble	d ɪ ˈs ɛ m b ə ɫ
Dniester	ˈn iː s t ə
Dniester	d n ɪ ˈe s t ə
Dollywood	ˈd ɑ ɫ i w ʊ d
Dollywood	ˈd ɒ ɫ i w ʊ d
doughty	ˈd ʌ ʊ̯ ɾ i
drag	d͡ɹ̝ ˗ʷ æˑ ɡ
dragon	ˈd ɹ e ɪ ɡ ə n
drain	d͡ʒ ɹ e ɪ n
dream	d͡ʒ ɹ iː m
dream	d̠͡ɹ̠ ˔ʷ ɪ i̯ m
dreaming	ˈd͡ʒ ɹ iː m ɪ ŋ
