accend	æ k ˈs ɛ n d
Adam	ˈæ ɾ m̩
Adam	ˈæ ɾ ə m
added	ˈæ ɾ ə d
added	ˈæ ɾ ɪ d
added	ˈa d ə d
added	ˈa d ɪ d
addition	ə ˈd ɪ ʃ n̩
Adelaide	ˈæ d ɜ l æ ɪ̯ d
aerose	ˈi ˌɹ ə ʊ z
agglutinin	ə ˈɡ l uː ʔ n̩ ɪ n
air	ɪ ə̯ ~ e ə̯
album	ˈa ɫ b̚ m̩
alienation	ˌe ɪ l i ə ˈn e ɪ ʃ ə n
alignment	ə ˈɫ a ɪ n m ə n t
allergies	ˈæ l ə d͡ʒ i z
allergies	ˈæ l ɚ d͡ʒ i z
allergy	ˈæ l ə d ʒ i
allergy	ˈæ l ɚ d͡ʒ i
alpha	ˈæ ɫ f ə
am	æ̝ m
am	ɛ m
am	e̞ m
amatory	ˈɑː m ə t ə ɹ ɪ
amatory	ˈæ m ə ˌt ɔ ɚ̯ i
amphibious	æ m ˈf ɪ b i ə s
an	ˈɛ ə n
analects	ˈæ n ə ˌl ɛ k t s
Andrew	ˈeᵊ n ˌd̠ ɹ̠ ˔ʷ ʊ̈ u
Andrew	ˈæ n ˌd̠ ɹ̠ʷ ˔ ʊ̈ u
angsts	e ɪ ŋ k s t s
anthropomorphic	ˌæ̃ n̪ θ ɹ̠ ə p ə ˈm ɔ ɹ̠ f ɪ̈ k
aphorism	ˈæ f ə ɹ ɪ z m̩
argh	ɑ ɹ ɣ
argh	ɑ ɣː
Arlon	ˈɑ ɹ ɫ ɔː n
Arlon	ˈɑː ɫ ɔː n
art	äː t
Atlanta	æ t ˈl æ ɾ̃ ə
Atlanta	æ t ˈl æ n ə
attic	ˈæ ɾ ɪ k
aula	ˈɔː l a
aunt	ɑː n t
aunt	äː n t
aunt	ɐː n t
aunt	ɒː n t
aunt	ɑː n t
aunt	aː n t
aunt	äː n t
aunt	ɑː n t
aunt	äː n t
aunt	ɐː n t
aunt	æ n t
aunt	ɛ ə n t
aunt	e ə n t
aunt	a n t
aunt	æ n t
availability	ə ˌv e ɪ l ə ˈb ɪ l ɪ t ɪ
aw	ɔ̃ː
aw	ɒ̃ː
aw	ɔ ə
aw	o ə
aw	ʊ ə
ay	æ ɪ
aye	æ ɪ
ayuh	ˀe ɪ ˈʌˀ
baa	b æ̰ː
baa	b æ̰ˀ æ̰ˀ æ̰ˀ æ̰ˀ
backspin	ˈb æ k ˌs p ɪ n
bacterial	b æ k ˈt ɪ ə ɹ i ə ɫ
bail	ˈb e ɪ̯ ə ɫ
bail	b e ə̯ ɫ
balancelle	b æ l ə n ˈs e ɫ
baldric	ˈb ɔː ɫ d ɹ ɪ k
bale	ˈb e ɪ̯ ə ɫ
bale	b e ə̯ ɫ
Balt	b ɔː l t
Balt	b ɑ l t
bank	b e ɪ ŋ k
barn	b ɑ ɹ n
barn	b ɑ ɻ n
barn	b a ɾ n
barn	b ɒ ə n
barn	b ɑː n
barn	b ɐː n
barn	b aː n
barn	b ɐː n
bashful	ˈb æ ʃ f ə ɫ
bashful	ˈb æ ʃ f ʊ ɫ
bath	b ɑː θ
bath	b ɑː t̪ʰ
bath	b ɑː t̪
bath	b æ θ ~ b ɛ ə θ ~ b e ə θ
bath	b a θ ~ b æ θ
Bautzen	ˈb a ʊ t s ə n
beagle	ˈb̥ iː ɡ ə ɫ
bear	b e ə ~ b ɪ ə
beared	b ɛː d
beared	b ɛ ɚ̯ d
beauty	ˈb j u ɾ i
bedight	b ɪ ˈd ʌ ɪ t
beetle	ˈb i ɾ ə ɫ
befang	b ə ˈf æ ŋ
better	ˈb e ɾ ɐ
betther	ˈb ɛ t̪ ɚ
betting	ˈb ɛ ɾ ɪ ŋ
bill	b ɪ ɫ
Bill	b ɪ ɫ
bitey	ˈb a ɪ̯ ɾ i
bitty	b ɪ ɾ i
bleach	b l i t͡ʃ
bleach	b l iː t͡ʃ
bleacher	ˈb ɫ i t͡ʃ ɚ
bleacher	ˈb l iː t͡ʃ ə
blem	b l ɛ m
blem	b l ɛ m
blicky	ˈb l ɪ k i
bockety	ˈb ɑ k ə t iː
bold	b ɒ ʊ ɫ d
bountiful	ˈb a ʊ̯ n ɾ ə f ə ɫ
boutye	ˈb ɐ ʏ t͡ʃ ə
bowl	b ɒ ʊ ɫ
brakeforce	b ɹ e ɪ k f ɔː ɹ s
breach	b ɹ iː t ʃ
break	b ɹʷ e ɪ̯ k
Breault	b ɹ o ʊ̯
brew	b ɹ ʉ w
Brighton	ˈb ɹ a ɪ̯ ʔ ə n
buccopalatal	ˌb ʌ kʰ o ʊː ˈpʰ æː l ə ɾ ɫ̩
bumboclaat	b ʌ m b ə k l ɑ t
butted	ˈb ʌ ɾ ɨ d
butter	ˈb ɐ tʰ ə
butter	ˈb ʌ ɾ ɚ
butter	ˈb a ɾ a
butter	ˈb ʌ ʔ ɚ
butter	ˈb a ɾ a
butterfly	ˈb ʌ ɾ ɚ f l a ɪ
butterfly	ˈb ʌ t ə f l a ɪ
butting	ˈb ʌ ɾ ɪ ŋ
buttings	ˈb ʌ ɾ ɪ ŋ z
cacoepy	k ə ˈk ə ʊ ɪ p ɪ
Cain	kʰ e ɪ n
cake	kʰ e ɪ k
calculable	ˈkʰ æ ɫ k j ə ˌl ə b l̩
cam	k æ m
Cambodia	k æ m ˈb o ʊ d i ə
came	kʰ e ɪ̯ m
camp	kʰ ɛ ə m p
camp	kʰ e ə m p
can	kʰ ə n
can	kʰ n̩
cap	kʰ æ p
caramba	k a ˈɹ a m b a
card	kʰ ɐː d
cathedra	k ə ˈθ iː d ɹ ə
caught	kʰ ɔː t
caught	k̠ʰ oː t
caught	kʰ ɔ t
caught	kʰ ɔ ə̯ t
caught	kʰ o ə̯ t
caught	kʰ ʊ ə̯ t
caught	kʰ ɑ t
caught	kʰ ɒ t
caught	k̠ʰ oː t
cauterize	ˈkʰ ɔ ɾ ə ɹ a ɪ z
cauterize	ˈkʰ ɑ ɾ ə ɹ a ɪ z
ceili	k e ɪ l i
ceramah	t͡ʃ ə ˈr a m ʌ
chai	χ a i̯
chance	t͡ʃʰ ɛ ə n s
chance	t͡ʃʰ e ə n s
chance	t͡ʃʰ æ n s
chance	t͡ʃʰ a n s
chance	t͡ʃʰ eː n s
chance	t͡ʃʰ ɑː n s
chance	t͡ʃʰ ɐː n s
chance	t͡ʃ ɑː n s
chance	t͡ʃʰ ɐː n s
Chance	t͡ʃʰ ɛ ə n s ~ t͡ʃʰ e ə n s
Chance	t͡ʃʰ æ n s ~ t͡ʃʰ a n s
Chance	t͡ʃʰ ɑː n s
Chance	t͡ʃʰ ɐː n s
Chance	t͡ʃʰ ɐː n s
chatted	ˈt͡ʃ æ ɾ ɨ d
chattel	ˈt͡ʃ æ ɾ ɫ̩
cheated	ˈt͡ʃ i ɾ ɨ d
check	t͡ʃ ɛ k̚
children	t ʃ ɪ l ɹ ə n
chlordiazepoxide	ˈk l ɔː r ˌd a ɪ ə z e p ˈo k s a ɪ d
choo	t ʃ uː
circle	ˈs ɜː k ə ɫ
circle	ˈs ɝ k ə ɫ
city	ˈs ɪ tʰ iː
city	ˈs ɪ ɾ i
clamming	ˈk l a m ɘ n
clay	k l̥ e ɪ
cleanup	ˈkʰ l iː ˌn ʌ p
click	kʰ l̥ ɪ k
cliff	k l̥ʰ ɪ f
Clinton	ˈk l ɪ n ʔ n̩
clip	k l̥ʰ ɪ p
coal	kʰ ɒ ʊ ɫ
coccus	ˈkʰ ɑ k ə s
cold	kʰ ɒ ʊ ɫ d
collaboration	kʰ ə ˌl æ b ə ˈɹ e ɪ̯ ʃ ə n
comfortable	ˈkʰ ʌ ɱ f tʰ ə̥ b ɫ̩
comfortable	ˈkʰ ɐ ɱ f t ɘ b ɫ̩
comfy	ˈkʰ ʌ ɱ f i
comfy	kʰ ʌ m p f i
committee	k ə ˈm ɪ t i
comptroller	k ə m p ˈt ɹ o ʊ l ə ɹ
comptroller	k ə m ˈt ɹ o ʊ l ə ɹ
concoct	kʰ ə ŋ ˈkʰ ɒ k t
consigliere	ˌk ɒ n s ɪ l ˈj ɛ ɹ i
coolly	ˈk uʷ ɫ l i
coolly	ˈk ʉː l i
cottage	ˈk ɑ ɾ ɪ d͡ʒ
coulda	ˈkʰ ʊ d ə
couldn't	ˈk ʊ n ʔ
countable	ˈkʰ a ʊ n ɾ ə b ɫ̩
craytur	ˈk ɹ eː t̪ ə ɹ
creation	k ɹ iː ˈe ɪ ʃ ɘ n
creep	kʰ ɹ iː p
crisscross	ˈk ɹ ɪ s ˌk ɹ ɔ s
crisscross	ˈk ɹ ɪ s ˌk ɹ ɒ s
